"Step","driven-sunset-58 - train/shaping_reward","driven-sunset-58 - train/shaping_reward__MIN","driven-sunset-58 - train/shaping_reward__MAX"
"8000780","0.0026384240037719215","0.0026384240037719215","0.0026384240037719215"
"8000860","-0.05277283757134402","-0.05277283757134402","-0.05277283757134402"
"8001140","-0.00609664376280757","-0.00609664376280757","-0.00609664376280757"
"8001200","0.0027814706466090765","0.0027814706466090765","0.0027814706466090765"
"8001432","0.006893258818006795","0.006893258818006795","0.006893258818006795"
"8001516","0.02287951113313909","0.02287951113313909","0.02287951113313909"
"8002468","0.033003025123595535","0.033003025123595535","0.033003025123595535"
"8002548","0.036782430803482986","0.036782430803482986","0.036782430803482986"
"8002840","0.0313615327435458","0.0313615327435458","0.0313615327435458"
"8003280","0.04259789547945285","0.04259789547945285","0.04259789547945285"
"8003396","0.044777025506854314","0.044777025506854314","0.044777025506854314"
"8003484","0.05320089654367229","0.05320089654367229","0.05320089654367229"
"8003620","0.05067835295453408","0.05067835295453408","0.05067835295453408"
"8004884","0.05453618454932673","0.05453618454932673","0.05453618454932673"
"8005240","0.05748257056835008","0.05748257056835008","0.05748257056835008"
"8005840","0.061654947739868834","0.061654947739868834","0.061654947739868834"
"8006156","0.06080871461284261","0.06080871461284261","0.06080871461284261"
"8006428","0.056362134238734166","0.056362134238734166","0.056362134238734166"
"8006768","0.05348601301414616","0.05348601301414616","0.05348601301414616"
"8007064","0.05839356543899045","0.05839356543899045","0.05839356543899045"
"8007180","0.05242767296663432","0.05242767296663432","0.05242767296663432"
"8009868","0.049986400770894564","0.049986400770894564","0.049986400770894564"
"8009880","0.04815988048080736","0.04815988048080736","0.04815988048080736"
"8011228","0.04896181547851954","0.04896181547851954","0.04896181547851954"
"8011996","0.04803048043755624","0.04803048043755624","0.04803048043755624"
"8013228","0.046820759158433506","0.046820759158433506","0.046820759158433506"
"8013236","0.04547424431209475","0.04547424431209475","0.04547424431209475"
"8014160","0.04693406706776117","0.04693406706776117","0.04693406706776117"
"8014196","0.04539240943838315","0.04539240943838315","0.04539240943838315"
"8014904","0.044934656280842165","0.044934656280842165","0.044934656280842165"
"8015088","0.04357359473904053","0.04357359473904053","0.04357359473904053"
"8015468","0.04363705154108905","0.04363705154108905","0.04363705154108905"
"8015728","0.04510569985783057","0.04510569985783057","0.04510569985783057"
"8015744","0.04711875677323688","0.04711875677323688","0.04711875677323688"
"8015932","0.049911849117346134","0.049911849117346134","0.049911849117346134"
"8016372","0.049014965868169176","0.049014965868169176","0.049014965868169176"
"8017188","0.04952975009291036","0.04952975009291036","0.04952975009291036"
"8017916","0.050471635504617404","0.050471635504617404","0.050471635504617404"
