"Step","tough-resonance-55 - train/shaping_reward","tough-resonance-55 - train/shaping_reward__MIN","tough-resonance-55 - train/shaping_reward__MAX"
"8000912","0.050633717593813535","0.050633717593813535","0.050633717593813535"
"8001472","0.03601357204358467","0.03601357204358467","0.03601357204358467"
"8001740","0.058541252554440176","0.058541252554440176","0.058541252554440176"
"8002172","0.06800113322899838","0.06800113322899838","0.06800113322899838"
"8002368","0.06317652683603824","0.06317652683603824","0.06317652683603824"
"8003192","0.06928033372126312","0.06928033372126312","0.06928033372126312"
"8003512","0.06258144359092631","0.06258144359092631","0.06258144359092631"
"8004056","0.06358150743790457","0.06358150743790457","0.06358150743790457"
"8004104","0.06466624366012043","0.06466624366012043","0.06466624366012043"
"8004176","0.0661044681973468","0.0661044681973468","0.0661044681973468"
"8005312","0.06796994633020254","0.06796994633020254","0.06796994633020254"
"8005504","0.07179738931598942","0.07179738931598942","0.07179738931598942"
"8006160","0.07236708223383291","0.07236708223383291","0.07236708223383291"
"8006228","0.07595875456231169","0.07595875456231169","0.07595875456231169"
"8006248","0.06456246617953924","0.06456246617953924","0.06456246617953924"
"8006720","0.06319320400276007","0.06319320400276007","0.06319320400276007"
"8007360","0.06116919594415816","0.06116919594415816","0.06116919594415816"
"8007420","0.06267526215875613","0.06267526215875613","0.06267526215875613"
"8007704","0.061593682462586605","0.061593682462586605","0.061593682462586605"
"8008424","0.06140120290245863","0.06140120290245863","0.06140120290245863"
"8008948","0.059646393330560356","0.059646393330560356","0.059646393330560356"
"8009676","0.06269065068758893","0.06269065068758893","0.06269065068758893"
"8010164","0.06327679392991355","0.06327679392991355","0.06327679392991355"
"8011076","0.06464567635190772","0.06464567635190772","0.06464567635190772"
"8011132","0.06277066475565196","0.06277066475565196","0.06277066475565196"
"8011284","0.06176070008881928","0.06176070008881928","0.06176070008881928"
"8011460","0.060250361626629924","0.060250361626629924","0.060250361626629924"
"8011552","0.059826238928195184","0.059826238928195184","0.059826238928195184"
"8013296","0.060706129759633895","0.060706129759633895","0.060706129759633895"
"8013692","0.061052948894191564","0.061052948894191564","0.061052948894191564"
"8014000","0.06125358221612577","0.06125358221612577","0.06125358221612577"
"8014660","0.06112979382422658","0.06112979382422658","0.06112979382422658"
"8015248","0.06190383961290727","0.06190383961290727","0.06190383961290727"
"8015624","0.06023742338273058","0.06023742338273058","0.06023742338273058"
"8015664","0.06130024432817588","0.06130024432817588","0.06130024432817588"
"8016192","0.06266692196456704","0.06266692196456704","0.06266692196456704"
