"Step","royal-star-57 - train/shaping_reward","royal-star-57 - train/shaping_reward__MIN","royal-star-57 - train/shaping_reward__MAX"
"0","0","0","0"
"5680","-0.006468907367851179","-0.006468907367851179","-0.006468907367851179"
"5744","-0.0049070082487782975","-0.0049070082487782975","-0.0049070082487782975"
"5828","-0.007790299657499551","-0.007790299657499551","-0.007790299657499551"
"7832","-0.005924553879034678","-0.005924553879034678","-0.005924553879034678"
"8440","-0.006480083856463162","-0.006480083856463162","-0.006480083856463162"
"8552","-0.006609166538676258","-0.006609166538676258","-0.006609166538676258"
"14452","-0.006279449935697813","-0.006279449935697813","-0.006279449935697813"
"16012","-0.0059085363979957","-0.0059085363979957","-0.0059085363979957"
"16080","-0.005701657044607457","-0.005701657044607457","-0.005701657044607457"
"16288","-0.005937851114107069","-0.005937851114107069","-0.005937851114107069"
"17456","-0.005829693831990821","-0.005829693831990821","-0.005829693831990821"
"19716","-0.004500128702162137","-0.004500128702162137","-0.004500128702162137"
"21940","-0.00432837657600078","-0.00432837657600078","-0.00432837657600078"
"22056","-0.002556694421014672","-0.002556694421014672","-0.002556694421014672"
"25020","-0.0017623155771351298","-0.0017623155771351298","-0.0017623155771351298"
"29192","-0.0018421751549361103","-0.0018421751549361103","-0.0018421751549361103"
"29600","-0.0017946845462089224","-0.0017946845462089224","-0.0017946845462089224"
"30788","-0.001825390757081738","-0.001825390757081738","-0.001825390757081738"
"31412","-0.0017474346848053673","-0.0017474346848053673","-0.0017474346848053673"
"32664","-0.0019217804388398786","-0.0019217804388398786","-0.0019217804388398786"
"33172","-0.0022762346136873906","-0.0022762346136873906","-0.0022762346136873906"
"33492","-0.002236297953149652","-0.002236297953149652","-0.002236297953149652"
"34044","-0.0020904883851112703","-0.0020904883851112703","-0.0020904883851112703"
"36392","-0.001893608231674692","-0.001893608231674692","-0.001893608231674692"
"39540","-0.0018385817802502927","-0.0018385817802502927","-0.0018385817802502927"
"40764","-0.0013962317155999627","-0.0013962317155999627","-0.0013962317155999627"
"40832","-0.0015459121871370398","-0.0015459121871370398","-0.0015459121871370398"
"41512","-0.001510319010654994","-0.001510319010654994","-0.001510319010654994"
"42540","-0.0009555985830183812","-0.0009555985830183812","-0.0009555985830183812"
"42924","-0.001040451784347516","-0.001040451784347516","-0.001040451784347516"
"48344","-0.0007882544361814905","-0.0007882544361814905","-0.0007882544361814905"
"48648","-0.0007932283550256809","-0.0007932283550256809","-0.0007932283550256809"
"52096","-0.00036584201659170307","-0.00036584201659170307","-0.00036584201659170307"
"52948","-0.00019127986943627976","-0.00019127986943627976","-0.00019127986943627976"
"56364","0.0003326102846176543","0.0003326102846176543","0.0003326102846176543"
"58472","0.0002758823040059104","0.0002758823040059104","0.0002758823040059104"
"63636","0.00048051730999639587","0.00048051730999639587","0.00048051730999639587"
"65392","0.0006169921195561098","0.0006169921195561098","0.0006169921195561098"
"65956","0.0006402338071395169","0.0006402338071395169","0.0006402338071395169"
"68036","0.0006418878232686191","0.0006418878232686191","0.0006418878232686191"
"69492","0.000288501782389949","0.000288501782389949","0.000288501782389949"
"72888","0.0003848937131645228","0.0003848937131645228","0.0003848937131645228"
"73464","-0.00041250681513385076","-0.00041250681513385076","-0.00041250681513385076"
