"Step","daily-darkness-44 - train/shaping_reward","daily-darkness-44 - train/shaping_reward__MIN","daily-darkness-44 - train/shaping_reward__MAX"
"97964","-0.0031042923328657487","-0.0031042923328657487","-0.0031042923328657487"
"98720","-0.002714241243132462","-0.002714241243132462","-0.002714241243132462"
"109172","-0.0016818254826483927","-0.0016818254826483927","-0.0016818254826483927"
"112080","-0.001708761100350282","-0.001708761100350282","-0.001708761100350282"
"116224","-0.0016129899821451762","-0.0016129899821451762","-0.0016129899821451762"
"121788","-0.0010972214239402679","-0.0010972214239402679","-0.0010972214239402679"
"122256","-0.0008529127458884274","-0.0008529127458884274","-0.0008529127458884274"
"127368","-0.0006848254172653463","-0.0006848254172653463","-0.0006848254172653463"
"128832","-0.0006125689087143381","-0.0006125689087143381","-0.0006125689087143381"
"140012","-0.00020285801257544526","-0.00020285801257544526","-0.00020285801257544526"
"141408","-0.0003266860970377547","-0.0003266860970377547","-0.0003266860970377547"
"143148","-0.0002992094039094895","-0.0002992094039094895","-0.0002992094039094895"
"144300","-0.00029109358135676343","-0.00029109358135676343","-0.00029109358135676343"
"150096","-0.0007786868770622776","-0.0007786868770622776","-0.0007786868770622776"
"151268","-0.0007406984495173116","-0.0007406984495173116","-0.0007406984495173116"
"152404","-0.0007087930141781321","-0.0007087930141781321","-0.0007087930141781321"
"156532","-0.0007845134459618443","-0.0007845134459618443","-0.0007845134459618443"
"159252","-0.0007161135150317354","-0.0007161135150317354","-0.0007161135150317354"
"159276","-0.0006465430434076144","-0.0006465430434076144","-0.0006465430434076144"
"161488","-0.0009123375322873861","-0.0009123375322873861","-0.0009123375322873861"
"165316","-0.0009796536501000992","-0.0009796536501000992","-0.0009796536501000992"
"165700","-0.000953282490899647","-0.000953282490899647","-0.000953282490899647"
"166132","-0.0008615310204715546","-0.0008615310204715546","-0.0008615310204715546"
"168416","-0.0007632759709961191","-0.0007632759709961191","-0.0007632759709961191"
"172556","-0.0007384151016233796","-0.0007384151016233796","-0.0007384151016233796"
"172968","-0.0006578605514027144","-0.0006578605514027144","-0.0006578605514027144"
"173268","-0.000371012396165043","-0.000371012396165043","-0.000371012396165043"
"175268","-0.0002963373078717344","-0.0002963373078717344","-0.0002963373078717344"
"180144","-0.00019999992149833648","-0.00019999992149833648","-0.00019999992149833648"
"180592","-0.00018253801438824019","-0.00018253801438824019","-0.00018253801438824019"
"182104","-0.0002871236682854283","-0.0002871236682854283","-0.0002871236682854283"
