#{"t_start": 1784326665.022524, "env_id": "None"}
r,l,t
872.254656,597,23.778428
61.014143,120,24.782047
48.730565,239,26.920021
995.796384,383,30.33141
53.525493,85,30.982635
896.368008,375,34.025209
1008.294598,288,36.57136
56.700424,131,37.655333
900.178563,243,39.493957
53.345805,125,40.550606
902.919414,413,45.379206
988.12571,549,52.143924
253.257715,266,54.724395
259.254687,247,56.910417
147.112033,116,59.370563
705.875531,351,64.569684
255.093472,346,67.910858
788.819701,521,73.272454
895.18351,362,78.705942
357.801589,167,80.043999
-52.300686,38,80.446257
355.409021,403,84.597287
888.094004,446,88.220258
896.551266,383,91.570511
44.681807,152,92.863138
-53.210555,88,93.664806
54.746311,98,94.549793
151.142721,203,96.318798
701.038131,152,97.562079
-52.933225,57,97.997829
990.149523,518,102.442914
476.373008,490,109.060662
995.215447,388,112.352292
354.936126,289,114.64872
57.42708,101,115.39462
360.149069,454,119.04679
1087.467988,707,125.319168
1089.623569,478,129.103327
132.461511,824,148.893239
610.169113,160,152.513983
49.17787,86,153.231043
-102.744001,1879,167.585865
807.28968,220,169.306727
-53.828352,43,169.62317
-48.28036,166,171.01768
601.64043,165,172.930749
606.089933,151,174.181271
361.998426,361,179.764612
605.530271,248,182.534213
-58.501682,107,183.648965
690.274162,279,186.501924
356.445894,310,190.08033
271.381087,398,195.782178
605.880866,114,196.715808
602.530313,146,197.776803
-51.519754,32,198.021464
-52.090631,17,198.149536
703.053024,155,199.305011
675.972448,456,203.274866
55.735696,154,204.756284
1100.411369,416,208.18034
345.040401,609,213.504336
890.289028,350,216.557627
364.291609,334,219.123815
599.292369,246,220.972565
706.495352,173,222.262774
1046.212796,1040,258.720348
49.431293,78,259.651736
-49.027719,110,260.7127
50.129247,125,261.977971
52.909312,86,262.688629
1096.202173,377,266.384628
703.380324,261,271.526218
359.272481,425,276.002669
902.766436,279,281.981768
-102.765872,1871,302.561387
-54.314282,78,303.239607
460.934473,365,306.607417
791.190909,307,310.291475
1093.452934,583,318.50213
591.814622,267,320.963724
796.315429,284,323.669271
-79.472757,972,332.678108
-47.739884,68,333.243272
597.83218,215,334.860922
47.51943,120,336.120702
698.676135,191,337.83388
888.530278,325,341.092074
468.254481,422,347.737026
50.846168,138,348.931304
1001.934022,394,351.946042
-51.506837,27,352.25117
656.073889,1486,371.995747
605.50181,269,376.653081
698.444003,274,379.205613
-51.467532,136,380.513325
807.397597,218,382.147809
55.269765,73,382.734385
152.179306,162,384.021657
800.127477,233,385.657103
-49.146427,70,386.164099
-48.786419,95,386.924371
702.9475,256,389.11239
605.476363,109,390.035462
50.417422,117,391.243692
691.23249,302,394.677638
359.748578,395,400.913572
152.293632,323,403.485268
29.943889,870,410.956597
1087.217481,480,414.889992
700.161934,257,416.848786
159.88104,76,417.561193
787.834245,334,421.694581
803.091504,226,425.865283
166.278607,328,428.637217
1088.092204,628,434.218035
151.715572,207,435.801814
600.07815,218,437.701741
602.56191,199,439.321597
602.928977,104,440.237545
150.521222,236,442.581226
704.476288,219,444.552963
48.861512,53,445.154602
-51.918696,23,445.400233
474.801321,295,447.859813
-49.127509,181,449.569948
47.419116,97,450.876753
-54.03917,59,451.326489
795.007788,308,454.051653
-49.89017,15,454.166406
38.594484,657,462.842483
591.039697,193,489.707705
-48.903237,75,490.469687
881.82071,500,496.789855
-59.166228,239,498.944377
999.270688,403,502.108019
-52.429978,106,503.105123
150.763708,105,503.974055
912.121288,357,507.45416
1006.57558,293,511.077431
257.021919,190,512.799065
-52.874823,31,513.125694
56.24661,122,514.273153
897.896681,396,517.874393
884.491711,470,525.196338
894.598906,475,529.172477
1098.9221,450,533.167988
1095.994708,548,537.75547
149.84515,199,539.859755
-56.941253,210,541.930746
-50.660117,175,543.455826
602.802986,291,546.853656
1000.096175,274,549.194519
48.940202,92,549.900951
565.946487,454,555.853687
898.657064,533,562.066229
142.008516,517,566.049394
793.714895,426,569.452044
596.706969,315,572.048105
602.654842,98,572.859933
902.470423,305,575.212622
795.804201,287,577.314035
-98.676753,1816,596.59285
45.659341,259,599.074364
52.98242,116,600.269928
1091.743832,461,605.813698
-48.578435,49,608.247008
785.485861,439,618.589817
881.782295,513,626.56628
600.484544,175,627.924656
802.381815,218,629.837805
599.63842,195,631.866516
1103.75132,380,635.103244
597.503112,142,636.792214
567.719526,536,645.113142
52.468399,67,646.139933
983.1541,553,651.978549
51.636216,216,653.706413
49.668928,81,654.714321
52.800302,132,655.732319
909.691142,319,659.066568
253.931842,478,664.446996
798.521574,230,666.410992
904.366923,395,670.687733
49.12015,202,673.472578
-51.78922,136,674.894382
990.959854,386,679.075078
808.08605,351,682.508661
1099.791255,461,687.470275
50.100815,243,689.73827
-53.327619,27,690.017872
701.609174,107,691.428002
900.287037,299,694.282269
802.112904,253,697.421705
900.405938,370,700.943908
136.010649,561,737.063954
257.295367,271,739.634345
253.240446,440,743.900462
692.765015,338,749.565684
-47.4725,57,750.061671
700.708673,194,752.224267
797.888447,227,754.314298
802.806688,268,756.514837
602.143237,171,758.231515
607.934469,220,760.16509
1085.824057,451,764.21492
588.215726,310,766.737758
47.043167,115,767.560042
-52.690577,21,767.733339
1093.547593,456,771.338944
604.395754,123,772.494346
992.518857,304,775.336622
-48.483573,89,776.027739
5.688828,1848,792.316202
703.458014,200,793.998185
151.957227,137,795.274692
686.013818,393,798.311398
362.486516,415,801.648406
1088.482969,524,805.745703
1086.35485,564,810.476717
895.580698,219,812.402253
601.979837,157,813.597413
668.066113,443,817.192152
54.856798,121,818.24194
806.167952,246,820.076146
366.367006,282,822.382814
-51.784973,23,822.614502
156.558082,82,823.320125
54.201399,106,824.093977
-48.67117,28,824.311604
168.296894,150,825.434958
-51.769565,55,825.828548
1086.378152,521,830.464867
604.199307,126,831.428216
363.221706,344,834.174561
806.557407,406,837.499123
157.964528,125,838.399262
553.263106,646,843.516254
998.195152,483,847.159518
263.948061,215,849.233815
809.437622,196,850.854402
51.02132,98,851.621119
808.743713,229,853.516023
790.326957,489,857.715809
555.155787,506,861.62727
-50.700534,44,861.967567
153.33995,124,862.938399
42.776215,397,866.913675
152.808156,176,868.677487
246.560718,389,872.966409
795.352947,337,877.307269
672.680436,525,882.309284
566.732856,231,885.641843
52.379883,132,887.7503
898.282075,237,891.09305
690.280234,358,895.714385
108.767589,1824,919.40698
685.521859,354,923.821063
253.441044,247,963.757561
-52.189941,77,964.577147
1001.733746,273,968.314365
48.704452,80,969.39534
-49.809825,82,970.446873
599.614999,279,974.363756
53.852033,66,975.247328
896.763415,358,979.437099
674.391235,558,986.166691
710.556083,293,990.349352
257.122233,130,991.901516
794.731203,397,997.225173
805.452368,406,1001.926565
256.713132,167,1004.004578
709.416742,161,1006.17348
801.386639,229,1008.736194
1104.598779,352,1012.834204
904.987252,248,1015.812018
796.526263,293,1019.259292
893.249379,384,1024.344469
795.912242,348,1028.961818
52.671983,70,1029.922744
160.995652,335,1033.774201
42.336539,348,1038.112632
706.691573,223,1040.975595
697.845836,236,1043.736219
1.664828,1824,1067.188434
611.614761,188,1069.68861
467.063878,588,1076.585537
697.108861,233,1079.720683
805.277341,286,1082.898958
783.137411,618,1090.253683
703.375167,164,1092.274557
792.81887,318,1095.761181
898.403671,352,1099.946399
905.505729,243,1102.518373
53.32605,117,1104.030827
895.267305,466,1109.583522
1100.660615,391,1114.398616
-49.712031,94,1115.413127
253.73956,271,1118.517676
909.142494,312,1122.347523
251.475688,283,1126.10911
669.982583,492,1131.921049
676.277885,471,1137.229663
805.239921,157,1139.370217
1110.609359,417,1145.082839
605.361052,141,1146.722254
994.289498,516,1152.725918
896.001646,400,1157.546025
17.242436,1307,1178.426889
156.659053,82,1179.303883
1097.758798,459,1185.279035
156.740852,60,1186.238109
1115.417364,360,1191.194144
245.625155,386,1195.784081
50.318226,137,1197.319694
-58.100485,176,1199.43828
1000.329872,455,1205.289494
603.678006,161,1206.974653
564.063176,567,1214.899168
265.202824,265,1250.125473
360.311761,350,1255.433675
997.88804,384,1260.402712
608.820873,155,1262.783376
430.552725,1815,1285.596333
157.878659,68,1286.341935
696.29161,236,1289.244657
983.344575,460,1294.680093
790.552187,354,1299.21258
696.726009,365,1303.579623
806.646469,218,1306.511285
801.650465,307,1310.386498
558.217392,418,1316.042129
677.206656,649,1324.255441
103.768179,1840,1346.740023
559.284246,409,1352.037631
-49.815922,41,1352.56528
50.095539,140,1354.345872
772.934921,585,1361.456142
601.861484,166,1363.437513
692.392237,232,1366.243017
151.786944,169,1368.612492
-56.09043,88,1369.72902
699.264989,203,1372.017097
604.640617,135,1373.630202
1006.766096,454,1379.18143
-49.167647,29,1379.438445
702.335113,220,1382.362056
49.793962,85,1383.783554
999.332069,454,1389.70084
679.04998,471,1395.462261
-45.172346,68,1396.436259
908.186746,409,1400.983492
1004.703392,220,1403.964693
787.513405,375,1408.417488
-51.202542,76,1409.252262
-52.339918,109,1410.624147
-99.987585,1801,1433.357836
902.545939,340,1436.875199
452.626075,190,1439.486938
700.103334,333,1443.780821
904.648774,219,1446.350007
701.793914,327,1450.481357
421.940231,1807,1472.083076
576.585203,607,1479.614845
702.968602,190,1482.101736
699.124096,303,1485.766627
989.524454,479,1491.540844
156.834143,176,1493.670917
593.283937,145,1495.666673
800.067755,305,1531.336711
47.274263,152,1533.03435
803.048132,129,1534.500118
243.408634,743,1543.832385
249.754121,303,1547.479227
110.873972,1559,1566.487357
799.800593,319,1571.073847
698.153283,230,1573.953606
900.940299,393,1578.739259
803.870491,290,1582.072657
598.20792,165,1583.865164
697.253998,267,1586.964553
-52.683804,127,1588.581211
607.958208,222,1591.229618
593.118815,203,1593.922067
892.257169,232,1596.67077
261.90879,235,1599.242379
992.355313,353,1603.654485
995.144781,455,1609.027061
53.946082,130,1610.413579
691.021705,368,1615.038964
-48.448483,60,1615.787469
805.778158,189,1618.421318
802.300034,321,1622.845263
794.135807,378,1627.776451
50.983303,120,1629.331017
1094.147528,388,1634.271171
605.75895,157,1636.237443
783.441933,485,1643.674123
1090.631589,472,1651.329515
902.107841,429,1658.028588
52.139062,96,1659.907085
51.790948,110,1662.710644
249.904523,924,1678.180633
361.982119,257,1681.278527
604.186108,118,1682.974365
993.845542,477,1688.791704
259.682455,340,1692.001696
158.792493,107,1693.307004
142.53569,209,1695.899833
-49.209105,12,1695.98971
596.430251,266,1700.267853
51.638424,147,1702.426338
603.806443,163,1704.794656
690.725578,357,1709.097199
154.620073,157,1711.187968
874.701989,511,1717.194357
678.275786,617,1744.23226
-48.282692,20,1744.519205
701.100268,249,1748.172141
256.553764,141,1749.975274
794.668533,386,1754.711811
-49.225346,22,1754.935204
656.769109,671,1763.400098
1095.831219,465,1768.931368
55.372977,112,1769.894798
50.222052,160,1771.209329
37.586799,668,1777.062336
314.602935,1814,1791.420903
602.622066,186,1792.751529
904.873585,274,1813.504966
52.299637,123,1814.458396
595.189765,156,1815.71918
259.909392,132,1817.44177
-53.178221,58,1818.161801
361.78926,191,1820.366633
797.963853,285,1823.7219
602.693725,111,1825.2572
165.027015,349,1830.046556
161.815511,225,1832.847264
699.503223,216,1835.497023
776.79129,561,1841.779163
881.064898,463,1848.506851
603.442433,138,1850.395744
601.287615,160,1851.645117
900.968618,364,1854.700124
142.698284,346,1857.572111
139.137803,447,1867.118366
147.448859,273,1873.052612
603.324949,94,1875.190371
149.709149,115,1877.205811
796.618684,233,1880.086209
704.605931,242,1883.290942
870.468193,650,1893.189213
706.395773,284,1896.443912
357.898539,355,1900.653214
904.869845,136,1902.228376
699.782689,190,1904.608371
805.706062,226,1907.203999
763.72972,607,1914.658679
159.612024,127,1915.813763
52.228212,148,1917.067158
54.091011,102,1917.76091
603.66791,63,1918.237633
259.840041,218,1919.864275
799.654634,322,1922.49439
606.688063,143,1923.543495
975.318703,695,1929.00489
800.536795,176,1930.367438
798.331381,186,1931.759453
602.355103,161,1933.018081
346.96093,509,1936.860706
-51.936197,62,1937.340056
874.564546,575,1941.868133
50.188326,184,1944.341278
603.673136,284,1948.018904
-50.252619,101,1949.130957
596.729398,267,1952.157876
-47.003669,69,1953.103467
55.032241,122,1954.609351
56.91309,175,1956.709446
596.222439,237,1959.545898
159.218207,391,1963.983439
-50.728448,36,1964.399404
806.040253,428,1969.42047
697.409346,191,1971.589298
1102.1315,427,1975.355415
48.512404,93,1976.008181
996.228912,335,1978.80087
260.529058,264,1981.046621
362.738248,437,1984.532555
781.901157,379,1987.383054
1001.280622,395,1990.450054
-59.142409,391,1993.361052
1104.444872,378,1997.734491
1098.909629,325,2001.248062
351.247398,266,2004.527407
981.348641,401,2010.071468
249.552588,553,2017.701507
467.597364,319,2022.107057
262.633624,200,2024.845217
782.944908,284,2028.98069
169.418749,215,2032.072735
893.480222,399,2037.685205
65.968233,211,2084.811369
1102.705692,488,2091.687224
-81.273132,1013,2104.041442
996.088963,243,2107.243166
701.056521,320,2111.025953
162.964396,229,2113.749202
602.086849,162,2115.700744
-47.46821,44,2116.257128
900.803993,377,2120.495197
990.410066,365,2125.369724
1009.349663,273,2129.13948
601.9488,121,2130.571576
153.227876,97,2131.728727
252.11682,391,2136.8366
14.522101,1740,2157.411747
356.739872,305,2161.065574
701.19208,131,2162.915598
1003.719266,412,2168.151391
991.254081,455,2173.629437
250.40109,339,2177.682525
149.367986,197,2180.199592
349.028402,306,2183.852523
900.547591,214,2186.52795
165.876873,223,2189.08064
55.970312,79,2190.246401
988.919475,612,2196.925676
680.504969,376,2201.242099
1086.663404,428,2206.822882
892.616223,368,2211.564596
149.868553,258,2214.371507
888.752019,494,2220.627664
603.324952,81,2221.585198
703.225973,268,2224.776592
700.639099,99,2226.04697
706.872127,359,2230.502083
258.990473,223,2233.506734
604.951074,99,2234.70807
1097.33884,385,2239.396219
370.103918,325,2243.135033
1088.491723,526,2250.039699
889.639904,412,2255.105748
-47.210673,30,2255.461139
45.403535,148,2257.477409
698.716955,229,2260.525441
999.156487,309,2264.537415
51.919767,201,2266.941399
457.157749,267,2270.037908
361.584695,283,2273.91412
602.667269,245,2277.062497
158.138469,227,2279.804683
56.243943,93,2281.077255
701.063012,342,2285.858347
49.781602,224,2288.468337
693.322063,304,2291.445462
597.801564,160,2293.077796
687.087732,261,2295.708316
41.43821,672,2302.733186
1094.543625,540,2308.400459
-50.260816,16,2308.56318
-52.110928,19,2308.806554
981.460393,584,2315.982724
-99.856602,1826,2377.268083
701.70581,259,2380.963402
477.40692,357,2386.230728
807.532378,255,2389.335837
808.921791,233,2392.094218
-50.760282,61,2392.812579
665.57129,516,2400.315496
-52.648696,124,2401.940115
369.670487,357,2406.917957
252.307076,110,2408.369433
581.050424,363,2412.900535
252.369303,82,2414.017564
1083.193353,593,2421.533593
-46.472365,78,2422.643803
698.748244,353,2427.334
696.825539,369,2432.348486
800.043815,306,2436.258
20.326295,1797,2458.9152
701.692974,354,2463.238751
150.684429,157,2465.295832
256.59065,307,2470.64581
605.788747,150,2473.435738
1000.63915,331,2477.439444
988.807033,386,2482.290954
571.653164,414,2488.142163
996.809113,443,2493.28412
801.416908,141,2494.998485
461.421792,334,2499.300825
-49.800311,158,2501.228145
160.586037,74,2502.294951
-55.191083,54,2502.953138
602.526691,188,2505.600968
245.273418,389,2510.404649
591.86606,214,2513.304863
-51.182407,104,2514.713677
140.910854,614,2524.022749
690.64067,351,2528.355347
49.222578,92,2529.459769
599.290765,156,2531.331753
894.054065,321,2534.148706
603.4035,136,2535.188126
601.424109,161,2536.381754
2.062471,1826,2557.513229
246.059717,126,2559.050006
798.957119,231,2562.476482
894.062781,263,2565.957963
894.463748,280,2569.469109
609.313926,241,2572.436171
47.759801,168,2574.288052
603.521781,133,2575.919946
894.568653,291,2579.997079
996.821866,406,2585.850717
895.051297,503,2592.384358
-47.671459,87,2593.496687
700.563561,425,2598.178133
159.779171,227,2601.727823
159.683521,142,2603.639418
804.527823,226,2606.627326
47.511008,132,2608.392072
690.92686,379,2613.287376
52.412112,165,2615.380435
701.246967,193,2618.390031
49.36484,113,2619.972113
1085.589643,441,2673.821045
696.822708,347,2678.892988
158.940481,119,2680.546722
990.310538,241,2684.255918
-51.392916,65,2685.130527
-56.119562,104,2686.558943
996.470616,380,2691.58851
600.285894,115,2693.110884
49.916242,78,2694.390036
797.689219,371,2699.307891
1004.976103,328,2704.166606
255.033965,461,2710.708374
897.766446,313,2715.971131
1085.712617,517,2722.001791
147.364103,973,2729.581941
600.109965,134,2730.850859
1099.316442,574,2735.858595
1092.265512,498,2739.899509
707.070772,144,2741.731913
897.802241,419,2747.513036
803.546859,251,2750.773008
1084.221536,461,2757.268754
160.530616,135,2759.149123
1011.278821,324,2764.235075
795.084545,270,2767.610271
252.314181,401,2772.888664
577.196844,430,2778.262548
352.387536,253,2781.293546
706.973955,195,2783.997253
371.751384,264,2787.696057
0.571475,1799,2811.229804
594.573773,178,2813.176235
768.134188,621,2821.122876
702.396186,282,2825.265926
144.257399,577,2833.259408
701.515616,129,2835.121734
699.484364,276,2838.806311
599.340885,268,2842.065305
984.66457,459,2849.230521
576.949967,520,2855.485379
252.546047,275,2859.187393
156.61759,71,2860.215321
173.090463,275,2863.725921
701.169056,239,2867.754051
-50.783972,153,2870.406741
1095.503241,466,2877.270382
-54.450653,45,2877.877885
593.627473,184,2880.09342
59.573041,84,2880.987023
1105.15304,502,2887.324013
981.739504,379,2892.346828
56.495575,109,2894.277373
1104.98204,331,2899.045022
673.38684,434,2904.876659
574.945144,564,2912.057604
54.960843,94,2913.360827
352.577275,293,2917.970613
603.777115,152,2920.11929
-56.939537,124,2921.920408
475.50413,332,2926.425288
903.378804,453,2931.929895
56.775206,70,2973.976154
-53.861922,176,2976.219359
703.746994,87,2977.310298
45.09673,119,2978.897973
796.223973,366,2983.683084
900.500953,399,2989.059886
466.081913,185,2991.477405
797.130496,223,2994.223288
50.560503,322,2998.063056
898.08237,402,3003.049165
977.108376,563,3009.966083
-49.281253,24,3010.253284
168.058967,353,3014.664273
999.114902,419,3020.160939
253.919834,190,3022.249945
812.642727,363,3026.615804
51.140109,140,3029.136502
694.265959,271,3032.153756
897.510164,370,3036.606788
50.315971,57,3037.335194
549.849465,751,3046.968372
152.549491,133,3048.538034
893.371294,457,3054.315326
1099.892685,451,3060.252355
577.539073,549,3067.5908
905.702834,276,3070.888834
976.124372,534,3077.595352
-53.51583,25,3077.887178
-44.489329,69,3078.901059
365.0069,424,3083.912812
268.781185,188,3086.247298
353.451885,205,3088.660482
797.457161,269,3091.882186
896.746543,204,3094.372777
1099.000827,479,3100.316003
595.56338,215,3102.874485
895.829952,475,3108.423686
52.252251,99,3109.633951
693.416,257,3112.688673
-49.098621,15,3112.853856
253.899367,192,3114.828787
365.285067,183,3117.161865
358.307065,199,3119.791268
51.853673,153,3121.666365
51.213167,109,3123.265784
991.488794,594,3130.647389
467.263033,163,3132.625716
609.494039,196,3135.161443
158.8626,111,3136.298437
-50.992848,77,3137.197431
252.569959,218,3140.041017
1088.072945,438,3145.618186
262.095821,279,3149.598708
600.762158,18,3149.826416
1100.240942,323,3153.862466
1088.878379,550,3160.926054
795.892575,237,3163.958036
-52.913502,77,3165.052067
991.399197,524,3172.746182
1080.108513,766,3182.846816
67.074972,195,3185.090346
994.89938,462,3190.672942
153.856886,160,3192.574189
50.087022,111,3193.803275
566.110802,478,3201.668734
699.850853,223,3205.259387
987.699104,614,3212.546813
906.236869,189,3214.323924
555.982342,826,3222.043975
259.295231,271,3249.303603
594.287564,192,3250.874792
267.83228,204,3252.523025
147.197903,175,3254.127943
1099.917857,579,3259.175876
-100.686344,1814,3275.450216
376.450646,417,3278.97804
905.472379,193,3280.776439
1111.247035,399,3286.864064
600.282482,138,3288.986852
-49.958837,86,3291.57993
353.318481,341,3295.685074
356.157202,273,3297.928682
605.272224,203,3300.439479
707.950487,206,3303.242397
1087.7899,525,3309.258094
56.324331,65,3310.39848
704.519135,179,3312.320544
55.93818,89,3313.577869
151.886943,106,3314.870915
586.28541,389,3320.038778
703.496176,213,3323.458337
1105.215388,449,3328.296499
151.537365,154,3330.140127
895.820897,313,3333.479053
700.982208,263,3337.29736
891.238467,410,3343.158441
-100.099438,1798,3367.288743
-51.266074,151,3369.110654
-99.795162,1849,3394.32987
696.837742,149,3395.50942
1087.819098,573,3400.928535
996.75881,382,3404.132769
2.031426,1833,3418.760928
260.509744,199,3420.564036
41.223336,359,3423.602036
1000.657227,348,3429.991792
604.240333,161,3433.302684
596.299061,286,3437.355833
784.34227,292,3440.810652
56.187584,108,3441.763952
1087.652952,445,3446.021144
51.630255,65,3446.590347
699.743293,229,3462.658452
372.235177,272,3464.852968
704.03881,246,3466.816326
703.28126,218,3468.667796
575.830025,391,3471.935497
601.156155,277,3474.036669
-49.267997,31,3474.265629
602.830422,197,3476.083877
154.437672,205,3478.071822
160.588159,478,3482.258593
683.052848,291,3512.700911
902.998825,420,3516.914783
1095.860204,410,3521.676996
1088.350631,589,3527.55318
1001.041301,269,3530.022911
799.782085,276,3533.099681
802.427391,304,3535.735394
251.51686,262,3537.790091
152.229808,327,3540.610858
888.77929,475,3545.989237
609.016863,205,3547.78621
158.995787,191,3549.473329
995.092157,344,3553.339449
574.32548,453,3557.647996
606.139003,142,3559.330607
997.94175,435,3562.81859
-44.459857,69,3563.579839
-54.645034,205,3565.312829
601.490373,147,3566.439194
60.574654,113,3567.385165
703.367131,195,3568.90059
1103.273761,437,3573.510756
606.592626,208,3575.502648
279.609887,320,3578.120165
703.438347,222,3579.981239
450.16202,299,3584.034428
128.337014,1321,3599.625618
690.623496,307,3603.453633
266.66141,145,3605.299286
483.934431,392,3609.098355
144.790303,417,3614.027868
888.35294,420,3617.75711
604.967403,145,3618.842997
802.16493,349,3622.705628
949.308881,975,3633.664864
-48.483121,40,3634.043906
48.032045,85,3634.871146
993.775772,324,3638.91243
354.00608,562,3644.994822
698.311843,383,3648.664626
