#{"t_start": 1784326665.0335786, "env_id": "None"}
r,l,t
-50.326264,39,4.011085
791.665525,384,22.356288
609.498698,196,23.939516
693.695708,281,26.34031
896.831168,274,28.985645
599.365256,170,30.355135
1099.644273,453,33.993867
-50.808766,106,34.7883
710.493402,356,37.947276
35.703786,747,45.569908
54.270507,183,48.634452
365.380795,452,52.945448
52.399489,124,54.149491
900.977785,312,57.034744
46.212095,123,60.322771
266.759559,196,63.508466
102.806317,1821,83.280849
888.025488,606,88.302634
-49.879894,19,88.478802
454.829085,710,94.760062
276.705724,287,97.151719
987.639441,550,101.906399
801.772626,326,106.851717
902.422281,269,109.36579
51.889057,77,110.056601
10.037244,1800,125.087627
803.572625,143,126.149235
456.74651,679,131.851784
799.040077,345,147.16304
-48.608981,23,147.467488
874.239018,422,153.482893
1075.810403,593,158.143255
795.040221,345,160.814754
585.399157,400,163.789379
255.499862,148,164.895597
269.996817,182,166.267889
700.991326,197,167.83692
896.650902,373,170.714503
147.252036,331,173.940207
56.57621,203,175.809643
800.227994,354,181.730587
55.413154,93,182.778711
603.487992,142,184.118001
602.980079,221,186.468394
50.009914,90,187.240173
698.555858,220,190.049723
882.127946,504,196.626451
1097.528617,360,199.288451
159.584592,116,200.246062
47.006373,112,201.283307
704.929394,158,202.489633
591.046572,291,205.279484
697.187078,262,207.434344
804.976361,296,209.919377
584.304977,334,212.803151
688.373005,262,215.294502
149.355653,215,216.994639
-54.073178,80,217.672747
768.93319,611,222.24108
165.618159,182,250.838401
261.596291,261,252.867886
892.373042,555,258.266779
9.835675,1825,282.415622
702.742452,148,283.743392
699.754254,306,286.244046
967.057897,871,294.662791
48.598231,167,296.42613
162.092782,139,299.120171
1095.759147,388,304.157993
589.448327,228,306.399128
157.272333,217,308.710741
268.188009,173,311.042343
-53.364462,22,311.278281
47.653998,159,313.271495
166.338885,214,317.30081
251.27093,65,317.818586
593.501038,210,319.702779
-60.479599,325,322.869035
50.350745,60,323.457895
1002.071539,420,327.614321
366.201543,340,330.694904
-51.983695,25,330.917477
255.098765,127,332.021393
681.459115,499,336.223154
156.142103,191,337.958616
698.697631,361,341.493499
160.618602,215,345.951508
261.616394,309,349.024523
48.197191,64,349.527463
53.551978,82,350.136695
49.494916,86,350.855869
777.776212,532,358.232309
155.363661,129,359.382003
364.971224,339,362.794545
354.638424,355,369.366735
48.881451,148,370.539174
251.877593,155,371.958072
597.293131,166,374.321441
-44.294194,80,376.37548
605.235013,200,378.418828
161.992231,238,380.513469
-50.698325,98,381.252594
1095.729579,383,384.220979
1002.354628,259,386.045643
907.347683,146,387.197646
245.982081,545,391.974869
704.159919,208,394.799023
255.883619,118,397.674174
166.175399,225,400.460175
149.659292,443,404.037699
699.957335,116,404.866958
1003.609865,288,407.222609
807.297103,300,410.107925
354.878168,290,412.859788
896.189758,334,415.242187
791.887847,199,416.777801
762.307218,693,426.316203
796.721346,326,429.00894
-100.398641,1809,445.042958
998.592571,417,448.703591
694.146282,342,452.246
356.77341,151,453.560443
-52.041423,89,454.265991
255.610789,258,458.407836
1000.520434,337,462.370099
468.256489,592,494.726012
786.212812,434,498.460881
1008.535515,213,500.567123
271.063804,255,502.413381
984.468791,599,508.511516
599.934062,89,509.704237
-51.464395,18,509.877922
-51.305317,27,510.223995
-102.293581,1841,529.829753
892.593958,404,533.320681
362.362035,414,536.786698
886.633415,421,540.862111
603.716512,170,542.419449
357.956584,255,544.826852
999.610693,489,549.734251
700.347668,292,553.214079
886.065737,466,559.889491
799.118442,375,563.131795
603.77666,110,563.947834
796.322463,315,566.325885
560.704465,260,568.374589
601.416616,275,570.678275
1106.585608,408,573.843666
603.213534,250,575.795041
156.141793,203,577.291874
259.274018,180,579.051004
1087.79014,427,582.994571
693.311954,444,587.331308
528.945028,1497,603.588218
985.174769,521,617.519526
1095.768993,421,624.542925
796.229601,245,627.218944
258.60764,218,628.856323
801.466094,125,630.070011
903.903734,246,632.694973
604.179457,124,633.649251
-52.006009,38,633.951806
265.243861,225,635.855373
-50.166193,45,636.520752
595.577755,119,638.602777
699.699232,276,642.158077
-55.237363,118,644.727906
-55.527416,171,647.29729
52.864734,111,648.503956
901.743785,383,652.069787
1094.122816,603,657.779039
1002.768881,285,660.303768
994.464739,386,664.887526
-65.893397,532,670.150955
667.923697,553,677.245769
254.871572,189,678.952103
50.580402,86,679.660267
454.144281,361,683.371066
353.375274,396,687.594586
699.678343,266,690.159499
261.726183,226,692.811509
256.947764,200,694.520122
688.243711,336,698.55821
598.439683,142,699.786021
597.535533,194,701.724359
588.052085,270,735.173331
361.947444,258,737.52387
574.930245,570,743.100713
1092.578205,455,749.742801
1086.023051,374,753.599158
347.0945,470,757.81532
900.447337,335,760.725167
1005.073238,433,764.611376
145.229321,201,766.296626
251.091412,396,769.38044
1089.025124,533,773.828239
-52.60063,23,774.176271
-48.478915,21,774.448213
208.649517,1802,790.112163
-58.800673,348,793.205047
801.090383,201,795.047185
269.124632,245,796.872315
476.26347,421,800.178661
602.437772,56,800.689372
795.319376,452,804.38678
564.571542,407,807.642993
-49.51339,42,807.998932
565.10221,439,811.783795
1103.061964,382,814.597861
592.752247,226,816.671341
-48.897538,73,817.175197
-53.767811,134,818.336377
889.346038,436,821.79006
7.803587,1600,834.801824
988.169603,519,838.9671
704.286835,249,840.893529
14.461589,1800,855.804586
249.536107,450,859.311173
453.607475,607,864.102131
680.44975,466,869.039166
907.305675,223,871.350429
799.923699,149,873.244228
49.01568,221,876.469542
254.764244,495,880.647151
696.391855,372,885.916662
973.03794,745,896.117426
591.753989,335,900.183183
596.208795,267,904.222308
142.193574,511,911.251285
602.605685,193,913.541295
18.150676,1399,967.835594
249.63648,349,972.649107
685.891675,449,978.267624
467.911027,224,981.01244
908.606507,221,983.681581
158.846134,115,984.91112
151.925921,206,987.726194
692.005809,391,993.184844
604.465404,66,994.160551
47.100302,188,996.451593
374.257984,402,1001.04023
688.040366,348,1005.533581
-1.874697,1836,1028.044865
258.007931,171,1030.357311
46.184432,114,1031.604702
802.754114,237,1034.391019
1003.300009,390,1039.491637
-46.043223,33,1039.886471
888.781363,498,1045.863989
709.972921,213,1048.339416
887.847457,375,1052.94962
897.821002,280,1056.409129
151.093099,81,1057.468299
54.139666,113,1059.015734
1003.446056,375,1064.035357
604.614405,271,1067.79736
998.040668,414,1072.905273
685.812564,442,1078.426656
462.725348,188,1080.505495
577.328611,470,1085.614181
105.212239,1827,1107.266155
287.017463,395,1111.788968
798.151527,214,1114.732888
971.782869,624,1122.039254
1094.889122,415,1127.40411
690.952159,319,1131.195082
703.263223,191,1133.388327
-66.931746,635,1141.186402
170.370191,215,1144.249012
889.658388,330,1148.020454
676.935671,587,1155.279798
595.631323,327,1158.993083
800.093793,239,1162.600437
48.762062,126,1164.183272
469.459978,416,1171.374039
976.150688,634,1181.020543
697.120477,119,1182.24312
44.563354,324,1187.53687
-50.813763,84,1188.658429
699.259194,469,1194.382146
53.317237,66,1195.032836
808.207217,195,1197.397848
596.601478,177,1199.492711
700.808821,242,1202.488683
373.118466,526,1209.04759
699.820823,132,1210.919471
597.731285,135,1213.037338
159.101428,239,1247.910311
601.512861,232,1250.917507
998.948572,273,1255.217741
-49.555993,58,1256.058002
600.398635,165,1258.031874
1089.582732,446,1264.440086
999.046005,291,1268.00248
599.944557,164,1270.018862
257.14066,350,1274.429075
1027.888804,1314,1290.471971
159.60244,160,1292.279685
52.229035,110,1293.806458
454.815066,474,1299.654382
693.018677,312,1303.453776
473.385721,467,1309.512125
798.90794,347,1314.103509
811.209608,374,1318.913888
696.750446,220,1321.615103
603.539894,127,1323.411346
158.953898,81,1324.478505
49.775238,123,1326.224188
785.784193,444,1331.749545
782.115086,499,1338.063426
23.319987,1177,1352.138452
593.960848,306,1356.267074
604.76364,122,1357.645255
602.208068,132,1358.99246
161.433039,192,1361.41113
322.83464,1819,1384.105385
