#{"t_start": 1784215543.4614441, "env_id": "None"}
r,l,t
47.211201,176,20.43802
1073.340791,646,31.201343
892.394254,314,36.137671
802.74342,229,39.18122
51.004973,123,40.413642
796.108552,175,42.201566
714.305173,928,55.192724
49.97838,38,55.522983
1088.603007,503,60.57303
988.370854,488,65.435779
799.962868,236,67.775619
989.168355,425,74.878092
-56.031956,124,75.968326
-85.250601,984,85.175574
697.934927,263,87.770026
700.430441,266,90.109268
608.198228,235,95.05355
1092.208422,419,99.002372
601.675986,187,100.725555
243.206915,560,105.960088
-97.247036,1365,124.080137
438.028649,757,132.944079
702.44116,123,134.058939
153.686372,122,135.263062
602.664792,151,136.965005
606.632923,121,138.07147
978.534017,565,146.699154
-50.641565,51,147.431586
698.496108,179,149.195384
593.442119,211,151.243424
-48.12036,18,151.415627
590.335125,264,154.38959
891.638962,371,158.172638
-49.978568,13,158.440539
225.655962,905,171.369315
35.358612,626,177.379931
800.030504,325,180.676482
158.116682,279,183.409333
106.736643,1366,200.556685
604.752917,209,202.806574
144.500061,318,205.792919
-100.687245,1334,222.654347
48.98785,159,224.411316
698.280636,369,228.156037
791.714026,302,231.419665
-97.597774,1352,248.679809
-52.127079,43,249.07837
29.216916,750,257.236428
1099.378591,323,290.21027
53.804479,149,291.660495
-56.586781,252,297.436162
902.070578,213,299.146174
991.406503,426,302.705525
597.070386,200,304.685071
598.887594,170,306.356993
153.709957,318,309.596695
992.115842,526,317.393337
144.390212,352,320.563958
596.613116,157,321.885476
138.42591,677,327.61204
212.403104,1358,343.204393
801.67837,220,344.969555
706.454617,282,347.748618
1093.469502,435,351.726027
788.402033,448,355.69941
54.810918,83,356.360934
212.975852,1361,373.972329
50.84279,156,375.439492
-48.984769,75,376.121255
693.448774,316,378.804919
1005.245963,390,386.760502
704.547524,211,388.645758
998.596593,311,391.870119
212.29182,1360,407.191369
-98.759442,1361,419.224142
53.407822,85,419.957624
995.042853,501,425.012705
604.365832,189,430.360061
893.723346,438,434.186182
600.871992,112,435.167742
146.126397,254,437.556344
247.877548,638,443.31156
898.494449,382,446.917456
599.786082,189,453.903969
591.387872,358,457.004614
244.949679,355,460.26317
156.29774,153,461.477674
891.078336,355,465.042935
685.132183,239,467.144453
154.944295,161,468.50096
-52.070842,17,468.623812
963.681126,626,477.562979
995.593761,374,480.835358
684.217103,358,484.064635
706.076561,270,486.389728
-54.238294,87,487.149424
995.096416,477,491.585669
357.279367,349,498.488227
790.657127,445,502.809512
601.055788,268,505.376817
676.585817,419,532.114522
-51.128007,42,532.466698
48.589865,151,533.741951
427.090747,1362,548.638734
1086.492645,451,552.182668
981.662989,473,556.16189
-50.170352,19,556.322116
155.841517,217,559.026933
601.658277,71,559.707433
-51.48438,114,563.646689
697.451848,195,565.112337
601.436576,140,566.613837
599.065125,135,567.786599
679.713835,455,572.235831
599.847034,98,573.249681
601.608796,92,574.054637
585.74944,309,576.76644
987.11013,419,580.782478
-51.982196,16,580.90495
804.443117,258,585.913028
-47.860187,16,586.050527
986.230669,436,590.264961
695.378547,289,593.499979
635.464763,1373,616.301237
698.40672,256,619.700126
790.678137,389,623.634473
966.424641,594,629.990311
256.265298,198,632.392502
885.657067,435,641.048685
702.346666,214,643.027824
49.274096,149,644.296824
154.975615,92,645.769834
599.169816,228,649.877854
353.082478,354,656.850217
890.231646,450,662.936386
876.211725,520,674.118604
1076.999136,589,681.463738
605.416228,203,685.590213
804.975666,371,692.40337
976.078928,492,700.695981
704.61878,179,703.889739
598.811288,125,705.819158
585.574755,312,717.328726
1073.564999,418,723.101376
601.787298,97,724.990182
1068.027887,605,735.790254
989.221419,269,741.453787
149.91397,204,744.897725
997.33451,307,752.744975
50.734649,31,753.182084
599.439819,158,755.973439
794.560481,310,760.452612
698.010873,271,762.982643
474.850283,524,768.030588
-50.601121,29,768.410127
984.430501,422,772.647228
792.93556,404,779.679567
997.409038,281,782.289968
786.786506,308,784.956204
118.411339,1363,801.837187
254.49916,282,804.53993
683.11907,326,844.446055
694.464412,260,848.520736
981.895591,442,855.194564
700.070926,197,857.424362
355.117936,417,861.503726
701.270255,256,868.720624
52.763875,95,869.608027
596.745175,144,870.95049
596.741745,74,871.689426
554.424983,396,876.023211
791.102154,369,880.127725
148.986793,96,881.350793
593.293305,303,884.516836
1083.812135,440,892.836188
594.561554,280,895.739859
890.047167,340,899.640235
55.981133,49,900.298712
674.906426,575,906.872291
901.728493,213,909.378224
1097.960773,251,911.725133
1093.285077,356,918.855224
795.976478,317,922.287228
702.582382,138,923.696392
-54.840016,43,924.127374
-47.893679,72,924.79243
-48.931117,87,925.794004
701.481691,200,928.224649
