#{"t_start": 1784215543.4125535, "env_id": "None"}
r,l,t
352.379611,400,25.114766
886.052346,452,31.712374
801.12487,332,36.880816
694.823182,164,39.049567
-52.885464,22,39.271759
483.930887,1303,55.982707
1072.493289,635,62.221604
-70.610994,600,68.34377
601.213341,186,70.042396
996.276058,383,76.804992
120.548917,947,85.521291
441.404718,882,96.602066
-52.918402,22,96.817456
427.537205,1363,109.402533
-50.853617,17,109.562039
148.757881,319,112.619606
694.72403,232,118.645771
359.818528,209,121.303912
10.414974,1260,135.73778
800.406065,329,139.108911
693.964567,252,144.595116
955.475121,705,151.7586
46.505896,152,153.508938
-51.159506,88,154.524992
587.022136,232,156.825455
1081.481456,544,162.502439
897.962739,357,169.701473
991.01268,379,173.621083
890.266318,388,177.363755
702.594622,123,178.639296
150.614585,205,180.673601
803.27629,1179,195.837409
577.32889,369,199.40794
999.181178,252,202.313605
-50.700983,17,202.482374
601.57689,207,204.400418
1088.600315,519,209.883532
440.601088,891,221.894364
605.469776,180,223.747612
358.649957,148,225.572236
698.743334,263,228.077636
992.695127,447,233.257208
587.810992,230,235.842353
595.096967,161,237.274478
689.957483,268,242.96667
575.889989,350,246.532869
976.754665,555,252.415791
468.930946,208,254.806696
52.818459,96,255.771472
788.135875,328,288.969931
602.445058,154,290.363028
255.431151,186,295.572611
127.076163,950,303.861627
629.262544,974,313.268375
1100.304987,543,321.077996
49.368783,212,322.838948
992.250452,345,325.669484
767.046293,564,330.745676
472.880803,484,334.658786
-52.240723,31,338.916332
600.250104,164,340.255229
-98.224546,1362,352.667512
51.395282,251,354.904602
3.50896,1364,372.161578
-47.817965,101,373.316482
47.857911,25,373.546392
155.341023,139,374.801947
152.681771,181,376.406992
997.636633,385,380.29418
789.988089,382,387.741309
697.716729,175,389.247824
601.475255,77,389.971239
696.611154,216,392.291388
1100.047822,266,394.548001
45.554949,135,395.647574
155.527135,185,397.184963
153.986236,109,398.252336
592.227748,237,400.67686
556.816596,706,410.064358
