#{"t_start": 1784215543.4234684, "env_id": "None"}
r,l,t
698.246502,243,23.453661
443.620725,443,28.929773
594.486708,148,31.471333
335.194335,1211,45.730991
702.904833,182,51.712241
1097.537341,350,55.08994
51.37424,119,56.192333
982.828008,535,61.480559
254.372708,242,64.064195
697.57621,251,66.631053
594.656319,195,68.424748
690.639937,344,74.763443
885.175477,381,78.307082
994.544615,379,81.794051
1001.205904,445,85.979748
906.501314,229,88.217968
597.915843,288,90.789015
1067.186706,523,98.514423
47.535887,284,101.039854
601.759076,171,102.750562
702.182903,189,104.460093
113.964275,1364,122.187143
991.253957,364,126.89193
598.632288,119,128.178197
985.161107,484,133.354524
803.741704,243,135.703124
-52.998043,25,136.069723
41.659993,408,140.17812
585.748818,389,147.141869
43.317777,278,150.045848
54.697291,75,150.711782
599.381866,190,152.609884
418.133737,1360,170.416949
248.393332,320,173.657887
1095.631924,401,177.518888
358.385615,234,179.937634
1058.755708,770,187.242395
797.286393,251,193.714762
893.717805,296,196.38747
1101.567135,301,199.347737
53.896567,45,199.80642
791.493445,188,202.06233
607.575978,211,204.059314
696.580479,221,206.216664
593.598144,230,208.865866
453.849637,321,212.398309
-98.104167,1363,229.06127
43.685231,303,232.73272
-53.978731,29,233.053949
260.074584,179,235.240449
-47.082797,68,235.814854
20.538572,927,248.043877
899.213206,313,251.297441
698.341827,179,253.37477
440.510215,584,289.246957
696.663662,245,291.597378
987.391709,353,298.22914
1078.699803,559,302.852547
792.520993,344,306.276306
1067.117325,666,312.548637
772.587629,655,321.453798
778.772956,451,325.199428
596.783512,254,327.485671
459.600725,211,329.500446
998.810179,439,333.037295
262.16846,418,340.453878
254.761454,324,343.359689
1100.802639,401,346.853604
468.489737,424,350.934233
-48.560615,27,351.14227
888.6763,353,354.41753
343.343154,561,363.216505
1094.077707,527,367.959491
698.136964,170,369.821602
-52.329244,111,371.245734
982.390196,470,376.154127
796.4644,332,378.980963
699.706789,142,380.956833
798.461234,299,387.524966
1086.109304,476,392.101878
1100.281211,320,394.835439
258.872325,296,397.281626
680.359409,390,401.218733
159.352784,131,402.453915
738.144529,879,413.306714
48.442407,242,415.374912
597.305602,225,417.286341
894.066734,288,419.875117
149.200019,132,421.41889
-49.597217,74,422.250186
849.523439,643,431.74896
878.26704,530,436.457597
809.309024,295,439.191067
602.740844,172,440.600433
582.584782,320,443.519965
463.216487,952,457.426522
45.165712,257,459.888556
49.726022,163,461.172233
691.961507,241,463.549072
44.46636,91,464.326128
796.816746,351,467.521621
997.778172,320,470.428956
-47.004333,81,471.260269
593.035645,262,476.801
994.619886,465,480.812694
707.551622,170,482.290876
-49.684005,40,482.666578
169.030307,222,484.738823
251.152065,284,487.141412
602.014181,215,489.043761
326.765478,1393,506.012143
990.83655,340,532.033238
