#{"t_start": 1784215543.441835, "env_id": "None"}
r,l,t
253.203382,199,1344.64568
1008.172945,214,1347.407747
1082.298012,458,1358.789554
981.077891,540,1365.131448
1094.199286,433,1370.214886
883.739384,339,1374.145778
890.238883,292,1377.484068
888.390309,336,1381.743203
895.734619,264,1390.071499
448.052838,455,1395.987565
795.579743,347,1400.767733
419.442178,1256,1421.247606
696.685178,122,1422.673697
900.407669,291,1426.425231
595.374174,115,1427.716658
605.928599,176,1430.082362
1007.049638,308,1434.218687
887.506807,446,1440.187221
687.738377,356,1444.250507
698.664731,197,1451.891578
993.374075,279,1455.107135
45.581332,188,1457.452425
252.893175,443,1463.199454
593.923238,228,1466.057414
900.485274,294,1469.36824
701.692427,281,1509.883754
989.501171,401,1519.907704
603.235523,111,1521.22313
1090.213417,356,1525.592105
701.136001,190,1527.647869
597.275327,65,1528.525568
255.930712,164,1530.625921
890.734058,416,1535.86699
974.765403,699,1550.030069
-53.403905,18,1550.28907
-55.564104,180,1552.780257
1065.563608,669,1561.404681
886.668499,382,1566.136335
592.801034,217,1568.724516
790.929112,331,1573.05484
368.81391,213,1580.051296
160.974419,279,1583.077749
1005.638762,474,1588.436892
1075.224948,631,1595.735907
570.733074,285,1599.205256
599.845496,75,1600.030473
702.709211,218,1607.530355
580.479069,338,1611.146211
897.676617,242,1613.692725
241.992533,331,1617.782731
599.210896,215,1620.310271
784.98947,367,1624.58171
601.806883,134,1625.998698
693.1799,361,1630.683165
-52.192215,47,1635.48472
1063.325434,705,1643.849306
690.409884,328,1647.255699
795.188252,261,1649.951608
990.17922,589,1656.599004
987.881394,354,1664.905092
797.265608,342,1668.617202
802.951708,277,1672.358333
982.472766,399,1676.886411
605.330561,212,1679.448817
805.255618,265,1682.479789
464.553268,274,1685.655717
1089.53304,581,1696.427378
693.89948,237,1699.253126
261.833747,298,1702.808257
47.364877,133,1704.47807
464.298405,414,1709.314878
703.519564,235,1711.904789
784.728597,356,1720.425602
157.039922,289,1723.747412
994.207354,232,1726.523531
1067.765676,671,1734.55396
-48.459051,13,1734.714256
903.132094,241,1737.49409
