#{"t_start": 1784311425.7449355, "env_id": "None"}
r,l,t
56.251275,83,3.896749
1100.161015,492,11.090324
1089.390505,655,14.901721
987.77309,429,17.652439
889.72576,428,20.552149
603.82819,157,21.616245
884.527479,415,24.345447
885.506474,465,27.150361
983.329315,639,34.099898
609.553765,282,35.872988
899.999179,335,38.032887
802.550168,254,39.518757
892.545514,291,41.910563
1089.432618,440,45.071582
988.698153,487,48.330148
701.404837,225,49.564595
52.528131,103,50.298375
465.054328,285,52.144767
362.138327,193,53.403329
799.153329,304,55.432235
893.236833,417,58.285536
1090.031063,489,61.18698
801.567602,293,63.172896
258.922244,226,64.577093
1076.903782,733,71.90096
890.657543,364,75.090104
995.350571,449,79.471823
789.596497,330,82.612167
1094.273338,503,86.170535
903.035809,367,88.658996
698.656415,228,90.429112
899.406786,353,93.282987
354.744716,245,94.77634
706.626375,309,96.473899
898.474677,442,99.284191
894.23559,461,102.550537
50.012898,97,103.082822
795.945553,214,104.373014
897.160103,367,106.868629
895.637582,361,109.434824
898.534039,410,112.288425
696.824793,264,113.892751
992.842235,353,116.015395
694.163199,344,118.135092
891.498759,408,120.616887
805.074155,285,122.442819
980.218273,556,126.149824
802.621233,248,127.69148
601.405277,130,128.567638
1086.469171,437,131.638393
49.710146,76,132.13228
695.070993,235,133.527354
797.93307,166,134.710056
988.035994,400,138.890776
266.478543,210,140.434868
596.434884,197,141.739831
704.798066,309,143.563805
605.178976,159,144.532702
700.788039,203,145.90943
796.848508,386,148.865612
1078.158478,701,171.324941
599.180286,180,172.335476
1086.003496,395,174.780241
153.248363,136,175.571661
804.854034,330,177.431764
899.784248,336,179.740382
702.219745,301,181.557927
892.449687,395,184.597403
794.013517,319,186.911918
907.222079,401,190.425115
892.929391,333,193.066036
575.529781,482,198.635071
1006.608331,391,201.083607
1098.847216,380,203.564764
794.917777,278,205.33005
898.578448,332,207.234915
677.360332,488,210.09818
359.645126,268,211.645363
600.22274,71,212.032442
993.829431,429,214.598072
892.610316,323,216.339576
603.392728,160,217.319495
1005.218492,316,219.409108
888.048461,541,224.625382
892.064954,345,226.650474
893.583417,523,229.688248
896.613825,428,232.375646
890.268992,361,234.697853
600.685406,150,235.779407
596.845851,230,237.302511
904.12662,329,239.222463
804.578664,392,241.665529
598.796618,201,242.962731
246.902566,316,245.555096
563.156955,453,249.125018
799.718189,334,251.106037
985.769809,551,254.508323
895.767444,439,257.079105
464.650959,457,259.986456
703.745817,219,261.417412
157.802682,124,262.168252
457.993833,379,264.486032
696.36882,243,266.101955
1078.177215,493,270.164933
-49.283811,83,271.179137
668.995814,458,274.934312
806.002831,274,276.639043
1086.399537,695,280.699116
604.488645,227,282.224813
697.431472,282,283.9159
353.678242,198,285.095603
702.248325,259,286.55896
156.732723,131,287.356863
604.758752,174,288.350209
568.483833,524,291.364894
603.215161,192,292.402693
163.638154,151,293.338867
904.636955,351,295.520799
604.834217,131,296.314503
353.830398,271,297.827121
350.280053,352,299.909672
981.546295,590,330.999003
256.553433,250,333.481104
