#{"t_start": 1784039131.0813878, "env_id": "None"}
r,l,t
-71.19734,700,11.077612
-59.749674,289,12.401932
-53.215355,184,13.187432
-62.352107,398,14.86573
-78.73447,772,19.474133
-86.812558,998,23.977732
-62.772622,309,25.75283
-84.156897,879,34.516393
-50.099474,114,35.453366
-49.701921,62,35.963408
-52.533544,127,37.163798
-98.322979,1517,50.345861
-105.365728,1515,63.404058
-106.983629,1513,77.954557
-96.056326,1507,90.698027
-80.214817,854,95.778945
-95.007719,1218,106.098755
-100.579094,1515,117.476866
-80.433214,957,123.148312
-64.898214,492,125.902305
-85.892798,1030,134.163117
-107.418022,1514,144.72367
-96.608498,1504,153.224367
-69.503805,609,280.334719
-101.545126,1502,290.087806
-93.863599,1202,300.040475
-49.291341,13,300.140857
-58.482607,277,301.975691
-67.1432,443,304.779819
-98.42395,1513,316.740347
-95.009117,1401,327.749037
-58.053873,250,329.337554
-77.440909,932,335.552972
-98.69464,1493,347.660939
-95.638779,1490,359.529572
-73.253905,576,363.314302
-96.317228,1496,374.955585
-97.024276,1499,384.346047
-68.045106,538,389.926761
-98.716447,1494,399.524938
-53.050575,134,400.359994
-98.087552,1488,411.984488
-98.876795,1485,423.569818
-100.949503,1471,565.095289
-98.064178,1489,575.89823
-90.495446,1081,586.026924
-54.877024,158,587.153867
-99.627743,1494,599.87972
-50.482199,11,599.9463
-99.637191,1486,619.567816
-53.005747,174,623.270489
-95.324422,1485,633.79166
-59.191356,215,634.979367
-96.855607,1480,647.975014
-68.7738,587,652.035893
-100.325003,1491,663.80368
-53.639089,137,664.671176
-76.250204,701,671.263807
-54.746493,143,672.312432
-100.910038,1484,681.656991
-100.860317,1485,693.763882
-100.357225,1477,705.365702
-99.838762,1488,714.758138
-87.744475,1139,821.488946
-56.544447,196,822.77094
-58.811708,129,823.624624
-94.722321,1346,834.496924
-94.602366,1480,846.241565
-58.660121,226,847.77003
-95.406914,1354,856.393696
-97.388083,1473,867.803558
-100.073155,1476,879.210152
-56.228443,170,880.301218
-59.868805,248,881.887998
-57.607007,303,883.920224
-96.949639,1476,895.569099
-100.69173,1469,907.259053
-96.952441,1464,916.782542
-96.511379,1464,928.440418
-69.960891,620,932.503503
-52.929123,148,933.444946
-97.639603,1474,945.256232
-97.775531,1478,956.841354
-54.584808,139,957.74646
-54.365627,77,958.25378
-101.328968,1469,1055.609741
-99.905831,1468,1064.834738
-56.358784,282,1066.436092
-102.393508,1468,1077.855811
-63.973867,504,1081.332215
-50.889758,223,1084.912135
-90.020282,939,1091.183087
-75.751362,656,1095.398808
-99.780868,1474,1107.118092
-49.59391,29,1107.302179
-90.2484,1140,1116.876551
-99.46854,1474,1126.549857
-50.725594,145,1127.429835
-97.961093,1460,1139.381404
-102.334795,1464,1151.403073
-52.113856,58,1151.820089
-99.721535,1464,1163.133486
-59.785698,273,1164.63413
-74.960706,655,1168.071712
-94.427871,1456,1177.464636
-57.219873,218,1178.600741
-96.306149,1462,1187.82089
-62.840063,487,1190.31223
-94.836819,1461,1310.055481
-102.009426,1466,1319.467837
-67.804136,532,1325.024606
-53.959482,132,1326.02694
-65.048808,413,1328.67484
-100.808741,1453,1338.207473
-99.057967,1467,1350.098048
-76.179756,890,1358.205271
-51.832625,63,1358.634887
-100.058607,1455,1368.276124
-98.697437,1454,1380.055943
-70.751019,582,1384.028254
-82.570478,973,1390.964396
