#{"t_start": 1784311425.7387633, "env_id": "None"}
r,l,t
351.200197,400,10.245829
1080.889162,494,12.86686
1069.972996,645,16.889724
591.664723,184,18.039932
595.152691,265,19.657592
604.74566,189,21.182295
467.541544,408,23.846252
604.695615,108,24.562676
52.123741,98,25.201556
695.93507,184,26.257491
601.579662,200,27.521685
455.685966,310,30.957864
803.118462,183,33.325978
705.642284,218,34.885495
902.181367,237,36.478826
604.130619,100,37.028064
700.892792,289,38.784579
665.656838,491,42.528089
908.422587,332,44.83612
990.907165,416,47.772301
806.762221,374,49.81584
594.252559,133,50.809608
901.090615,304,52.788859
603.113054,167,53.818769
668.080007,530,57.370897
707.027158,191,58.694304
1092.372453,543,62.14357
985.090525,633,66.238459
702.137996,253,68.401628
1002.216846,480,74.05258
565.996782,689,80.486151
700.31578,371,83.874918
992.124476,545,87.370331
695.741688,289,89.506152
158.440419,165,90.862709
464.852689,137,92.087968
982.452145,450,95.029434
808.624748,284,96.682006
1089.74043,427,99.324265
794.504086,390,102.154085
799.316787,229,103.44772
693.494116,307,105.366248
1084.336397,500,109.033827
993.508051,418,111.925009
602.502774,121,112.632529
599.926419,110,113.261057
900.014419,388,115.700268
899.575107,364,117.901447
1005.228306,364,120.052154
985.019373,535,123.736981
464.840132,216,125.165989
911.722541,309,127.003397
806.837011,297,128.964244
256.113331,175,130.057276
606.149678,148,131.10393
797.771339,313,133.167767
1102.991528,261,134.972513
607.321927,122,136.307243
50.454481,89,137.318791
261.045796,258,139.691609
802.043602,169,140.8794
1092.369948,461,143.69042
810.030662,216,145.132631
895.336962,235,146.621221
151.679667,131,147.69563
900.3624,480,168.951417
786.778816,326,171.101159
1079.626014,736,175.489552
699.385257,289,177.111742
1087.089204,501,180.372644
905.678658,252,181.998498
994.153206,404,185.081383
602.593487,271,187.10181
1005.099884,251,189.386056
990.401356,473,193.213164
1094.712355,456,198.528836
701.763038,313,200.579275
895.187815,391,203.047359
796.673442,294,204.941775
897.430354,351,206.949435
456.216441,549,210.188781
908.470076,392,212.417813
895.683991,497,215.331824
1096.879211,495,218.189618
700.47847,199,219.878595
901.585657,266,222.770229
1106.764272,513,226.206912
793.377126,469,228.965173
370.328586,274,230.514639
602.745533,174,231.640598
254.23087,194,232.870302
600.043867,126,233.647263
702.572303,185,234.956859
799.332307,401,237.652513
999.135522,532,240.755511
1073.94459,585,244.928857
695.912004,242,247.456586
1086.023997,538,250.675994
792.509979,273,252.242636
896.84393,276,254.064294
460.106347,521,257.138352
697.54657,306,258.976704
1003.429882,264,260.760267
600.007331,207,262.069694
1001.513902,366,264.303977
903.683202,233,265.803352
675.983258,532,270.166745
997.986166,323,273.446591
994.520395,362,275.89583
153.984958,148,276.737343
805.740158,302,278.474732
790.099674,323,280.305859
707.068692,320,282.48398
801.11917,173,283.541287
357.706763,496,286.396711
795.680173,233,287.739602
596.974035,141,288.610484
251.164943,226,289.883837
50.409975,77,290.312482
599.866177,144,291.145457
148.041269,118,291.816786
603.836055,147,292.6081
894.082774,371,294.959118
701.126773,261,296.516847
1088.930821,457,299.108626
891.857794,274,327.912103
459.363584,473,331.243924
699.891937,171,332.904394
266.486847,304,335.787881
601.844589,195,337.06556
694.584332,267,338.76625
451.212833,512,341.807006
685.536453,431,344.307839
260.859844,291,345.863916
796.728162,280,347.658572
995.847537,454,350.344324
359.176552,346,352.589983
701.753832,136,353.34193
1082.017359,445,355.790228
803.236337,268,357.470058
354.876944,255,358.952513
993.808552,476,362.667893
792.221814,485,366.776422
903.275572,374,369.167426
707.469584,193,370.243919
797.629245,347,372.204767
152.130197,201,373.426997
704.799155,224,374.806293
987.243364,448,377.344229
896.176422,442,379.713554
1109.024144,427,383.364983
707.545418,221,385.066216
609.030801,187,386.130644
1096.652549,461,388.981918
597.782424,162,390.01673
981.755897,499,392.818206
989.248236,533,396.006215
459.318897,188,397.146995
999.565151,398,399.428642
999.42014,294,401.020651
609.605909,260,402.691724
361.938477,119,403.411829
701.314062,375,405.489301
566.779735,356,407.412725
890.121534,324,409.188137
256.456558,258,410.562496
47.642957,76,411.122015
780.811827,446,413.64537
699.023414,246,415.132539
603.983928,131,415.879903
51.482945,79,416.475439
706.270122,224,417.795414
59.622922,104,418.379146
1102.252103,489,421.396561
1092.055744,397,423.786336
157.631618,133,424.508901
358.209061,239,425.868542
48.960842,163,426.780215
901.061517,334,428.819147
593.281095,317,430.570318
1000.602945,401,432.768104
896.869322,572,436.197535
704.750471,351,438.250157
808.299478,300,440.065219
597.525551,130,441.309024
998.857162,334,444.144235
701.241295,139,444.935968
567.90153,334,446.800237
1102.669989,266,448.848235
601.516249,194,450.03882
995.732559,442,467.372396
569.486736,298,477.948938
604.932165,230,479.956368
794.827785,411,482.429156
797.328022,384,484.692253
899.453851,323,487.0086
597.550588,160,488.042146
988.066184,390,490.768951
600.14276,223,492.781483
904.005494,412,495.436915
604.877409,142,496.488165
255.685882,207,497.756523
797.812493,356,500.052301
601.54516,149,500.93741
674.916839,708,505.016612
1003.037218,493,507.954501
56.638259,157,508.911149
598.068969,186,509.924536
1083.762082,543,513.245831
1083.51638,532,516.562675
808.002017,283,518.119528
809.434641,244,519.450382
907.434737,291,521.235714
1096.071157,540,524.646945
990.904021,458,527.165167
995.877629,463,529.609152
1091.26865,455,532.487593
991.977016,422,535.358407
791.160871,458,539.818913
695.431355,267,541.459967
688.843409,385,544.201155
1092.214008,388,546.597736
1002.257225,453,549.756553
795.366657,400,552.791223
992.948314,301,554.587978
706.736094,288,556.187838
600.191794,126,556.890331
601.448042,143,557.714209
901.28603,313,559.414158
797.574468,231,560.680394
1102.787631,286,562.477571
266.410885,262,563.966251
353.848024,306,566.091057
606.610132,187,567.989738
896.790993,469,571.090633
886.479254,427,573.470727
896.587485,403,575.668547
56.137885,104,576.218451
801.952637,174,577.291464
904.569111,229,578.508522
691.603522,315,580.336939
901.005971,339,582.268063
1089.74029,663,585.757223
154.470256,235,587.073539
157.739009,260,588.686896
710.482589,218,589.899983
892.095798,359,591.914304
894.581482,432,594.24776
1088.205159,535,597.106938
992.741583,536,620.0939
158.71889,315,623.640537
1086.720588,639,629.223579
367.300962,259,631.102918
260.584139,179,632.402932
702.392935,130,633.224692
50.463928,95,633.80016
885.268798,414,636.912617
602.167317,153,637.907434
998.112524,297,639.955109
704.400161,217,641.461652
799.870241,316,643.661371
608.603264,195,644.991088
604.514382,103,645.678732
1098.21362,544,649.196426
600.075427,156,650.254931
609.987327,204,651.501425
662.597639,262,653.198827
895.744851,389,656.034858
798.418653,368,658.435128
1096.413865,427,661.13125
704.942038,276,662.843523
796.643185,315,664.998157
53.789166,106,665.661048
161.203497,224,667.057982
700.714499,229,668.685073
1089.725711,392,671.368436
904.454177,418,674.097422
712.199488,344,676.21359
257.167122,306,678.265383
905.89746,391,680.783765
603.419521,218,682.347214
792.073221,400,685.019111
178.499307,285,686.926973
596.422653,140,687.91175
160.73176,195,689.116995
268.356637,191,690.357928
603.062168,189,691.800141
894.35984,377,695.984236
1000.482289,394,699.111506
675.952843,489,702.583873
991.25429,403,705.15323
257.486084,137,705.92308
602.547028,74,706.424703
164.010081,205,707.670179
1090.952924,416,710.301544
1087.069736,522,713.313899
890.250876,361,715.174035
698.645765,301,716.811983
704.656377,137,717.537071
267.153798,181,718.626269
702.732424,164,719.647471
1094.987092,599,723.031719
53.354963,118,723.6485
606.708332,198,724.821776
803.824863,342,726.722101
460.52232,323,728.647118
601.669174,116,729.289825
802.339198,326,731.39358
899.119442,313,733.188941
1094.541862,432,735.843021
601.255721,180,736.868293
804.144223,244,738.212477
891.180386,486,740.902804
357.052016,334,743.555279
891.023389,390,746.005834
707.515907,329,748.734426
897.711262,241,750.987261
789.093031,375,753.680017
603.889977,142,754.478977
245.407053,242,769.62875
902.08334,305,771.400527
166.032131,220,772.851695
49.953983,77,773.351879
701.257019,159,774.283022
1079.933791,635,777.819159
802.742937,304,779.720269
273.534,278,781.360982
363.663837,263,783.070408
698.331066,191,784.265657
600.192236,136,785.161201
1001.328709,306,787.537061
607.261069,129,788.459441
983.600325,603,791.88613
601.16146,121,792.520179
604.340538,134,793.238262
159.07755,188,794.46919
705.946926,168,795.5983
53.218245,86,796.279323
602.221316,253,797.809384
1000.539721,360,799.858745
996.964487,345,801.759519
597.438159,158,802.759188
992.870117,341,805.335135
604.407726,155,806.239745
799.918046,281,807.807105
152.710519,78,808.214138
56.021954,89,808.762652
564.111228,169,809.633999
158.341642,99,810.149726
601.465172,237,811.797861
48.978331,76,812.472087
802.10464,376,815.103
1095.140479,521,818.96689
806.763378,230,820.372808
699.086082,313,822.28465
56.253897,140,823.552964
705.211233,206,825.319274
805.085996,191,826.68117
691.749044,388,829.06623
1089.415834,534,832.123875
271.505625,360,834.062437
793.729209,325,836.318981
1096.956609,460,839.347511
906.831835,162,840.21847
702.589009,228,841.654727
152.932483,119,842.278986
1092.744863,380,844.467772
457.164372,199,845.605796
804.406302,333,847.942804
601.948372,126,848.914683
893.992127,415,851.196543
261.808602,221,852.298202
-49.497882,79,852.697172
168.102965,170,853.550644
899.922711,314,855.259845
790.492568,293,856.838576
994.112633,506,859.895876
605.116612,210,860.98563
698.151846,154,861.825267
713.527753,268,863.235381
561.036083,517,866.21415
1092.566412,593,869.771215
784.342611,385,872.17987
1095.230267,359,874.087424
883.554116,507,877.102828
599.106754,195,878.268007
605.970526,199,879.530995
161.13002,274,881.013198
908.250599,402,883.145338
605.446029,241,884.83317
259.352423,251,886.26761
607.390985,245,887.813513
1007.754185,255,889.582212
469.478058,433,910.184406
46.623409,116,911.008687
701.850372,188,912.199766
902.892103,291,915.139013
903.419932,208,916.998914
257.131581,92,917.59568
812.974386,329,919.54035
604.148032,176,920.598739
895.216958,482,923.612672
792.815942,285,925.90899
50.208174,77,926.611068
468.062057,313,929.041934
1093.557085,577,933.262056
707.54415,279,934.805616
704.404283,177,935.758612
259.187798,177,936.707322
897.497965,399,938.868213
1086.297174,533,941.885296
1097.052795,394,944.747965
599.948798,170,945.690303
264.274876,167,946.760722
796.873441,395,950.729912
1107.5651,321,953.331944
603.522032,133,954.199411
989.987317,394,956.501463
891.703316,440,958.938497
699.518605,204,960.073028
891.624856,452,962.604094
1006.325274,337,964.364961
253.09766,194,965.486686
791.623074,303,967.321594
894.262162,400,969.916443
168.524596,133,970.652169
605.834061,138,971.393523
799.588074,311,973.424142
897.469364,500,976.220906
1091.411253,562,979.259931
606.749438,162,980.1588
899.099822,340,982.140416
802.03505,204,983.273451
901.28124,388,985.348124
989.760761,390,987.71712
802.626951,367,989.924749
896.076011,371,992.092379
260.984021,273,993.699919
892.38337,344,995.723949
994.187161,633,999.209589
1088.494473,561,1002.341406
695.026661,360,1004.336507
598.954768,157,1005.346903
700.94328,236,1006.684465
799.720868,240,1007.914632
693.575739,208,1009.056855
609.448112,292,1010.625682
801.430626,247,1012.032103
607.736547,201,1013.083613
602.941531,144,1013.831761
53.350713,128,1014.477114
797.484312,309,1016.16824
891.845032,383,1018.198119
1096.044474,513,1020.907281
595.92065,205,1021.948985
888.454467,441,1024.195513
