#{"t_start": 1784311425.7475708, "env_id": "None"}
r,l,t
894.645889,356,10.016269
601.068541,109,10.547215
604.186257,194,11.476825
791.142036,419,13.958769
158.384522,116,14.684963
600.286322,112,15.377243
600.146586,148,16.314914
146.637808,115,17.071606
883.829371,474,20.049856
46.942069,246,21.894426
465.834767,443,24.811243
363.957263,180,25.902427
670.951017,392,28.699733
601.683293,130,30.064282
154.003001,226,33.241691
602.86438,207,34.763994
787.469361,296,36.680085
799.329996,268,38.347155
603.10239,179,39.360806
611.935242,229,41.186993
985.930746,497,44.839256
887.272521,440,47.891823
1081.363803,576,51.379222
897.923681,310,53.421942
563.255824,380,55.931684
900.153576,404,58.665486
164.493147,247,59.947616
603.798534,189,61.296255
56.215535,83,61.924665
793.247889,527,65.224999
700.410081,135,66.244117
-50.977014,87,66.964091
702.912813,226,69.194822
998.151396,416,74.024287
602.865027,161,75.394327
994.747931,358,78.823681
801.0941,325,82.050388
799.422616,418,85.165477
275.144304,384,87.625949
575.376168,386,90.637683
272.048572,222,92.55864
696.680464,201,93.914755
701.778352,194,95.023979
570.75774,494,97.95495
692.288664,276,99.702648
802.860475,393,102.526296
1092.93155,573,106.120118
987.301119,540,109.890606
795.275943,424,112.766518
804.264268,258,114.345954
897.8425,287,116.084004
994.615606,566,119.51605
356.248234,456,122.428403
697.200411,185,123.835497
794.677486,235,125.351825
898.444285,234,126.741167
888.533356,421,129.466511
263.537963,236,131.053568
461.602032,159,132.257057
610.357259,280,133.981278
151.181339,213,135.693522
710.144753,312,139.087522
602.377034,162,140.281637
453.815061,220,141.738591
452.378323,408,144.117944
898.803917,342,146.414809
607.958872,190,147.927065
702.657198,181,166.919506
900.155247,362,169.553885
1097.79508,273,171.312106
1081.782957,447,173.916643
700.622719,227,175.34255
1086.525835,584,178.993074
1002.962098,451,181.757277
698.309124,262,183.869974
592.640841,204,185.304112
603.289053,103,186.003073
790.144502,394,189.439197
604.964017,147,190.623315
803.448075,363,193.58787
1089.674176,457,198.85591
893.018906,512,202.002973
1083.212775,708,206.471916
446.468266,320,208.338938
804.228753,299,210.089381
802.584351,228,211.397694
797.708382,282,213.112702
796.392997,307,214.856113
801.851186,354,216.819254
804.838891,305,218.610097
602.360215,62,219.15527
1096.414934,566,224.592126
601.079244,149,225.44386
50.456046,152,226.376745
265.272694,197,227.571824
698.154268,243,228.945766
804.375117,312,230.737772
599.314956,98,231.392153
603.637908,86,231.929604
257.121823,203,233.163498
1084.150889,546,236.923286
699.315354,174,238.033974
605.0201,215,239.24308
605.406164,103,239.909166
1086.115306,544,243.33819
801.883322,324,246.574076
704.379239,321,248.722438
248.519722,276,250.352293
896.41128,391,252.613866
792.549376,340,254.828318
695.67753,251,256.307192
902.358983,415,258.78854
903.754652,328,260.997209
1083.106075,547,264.349519
694.203247,368,266.853848
1088.620984,579,272.392777
360.02736,185,273.88032
999.140192,445,276.666579
705.673286,212,277.86316
-48.654724,77,278.320666
55.301918,93,278.850755
973.214136,667,283.0418
603.274471,167,284.008465
57.15158,80,284.484634
53.860318,128,285.256082
603.379613,197,286.358403
797.152287,262,287.87357
1074.399291,523,290.876275
371.315252,260,292.341717
355.957304,306,294.281612
776.999101,471,297.049045
993.95622,449,299.682176
358.263532,285,328.647134
695.139459,291,330.568562
991.865984,407,334.430177
1081.684493,679,339.209632
369.462467,320,341.032932
899.311184,438,343.618797
153.744012,207,344.793769
803.976297,340,346.636051
696.996725,228,348.163752
570.779702,432,350.743918
991.574521,400,353.248621
886.606488,617,356.79841
155.21654,150,357.674578
704.677916,230,359.014908
1036.503827,1121,367.947505
906.060783,184,369.05593
1082.881223,436,371.527238
-49.09114,80,371.955215
1095.296369,563,375.329822
602.816942,201,376.475273
156.10752,169,377.434363
604.134229,182,378.43423
595.174608,247,379.733023
799.182896,374,382.799475
1072.591322,631,387.224134
798.006007,197,388.339205
794.719694,390,390.853154
693.577848,178,391.821167
601.952085,89,392.308032
994.334821,366,394.321412
980.023786,661,398.310681
881.591575,578,401.579756
709.873335,207,402.980318
798.950161,420,405.333636
799.020236,168,406.231644
1003.749181,230,407.485001
-48.845763,81,407.922653
702.258872,95,408.434956
1083.202221,550,411.621713
1001.144761,337,413.491972
695.262066,265,415.081167
983.733301,587,418.598731
992.743131,445,421.368859
50.796572,90,421.90956
702.674233,120,422.599235
147.319675,87,423.216181
601.132423,284,424.774178
798.891311,193,425.877305
1092.719556,573,429.253883
1003.09492,330,431.080933
604.093799,75,431.479858
896.796149,394,433.603853
682.216226,589,437.241894
994.404639,437,439.831063
900.218173,280,442.539444
889.56007,452,445.424137
1092.087324,351,447.587935
692.968588,241,449.370132
1114.075057,486,452.167307
898.731335,428,478.815839
894.94798,458,481.701884
51.837585,85,482.21478
1088.524994,461,485.041148
602.972432,161,486.267838
891.838345,374,488.577982
1091.216368,529,492.836001
1099.439663,437,495.691311
798.03798,154,496.791916
596.736936,234,498.189736
1091.077499,521,501.487331
699.876145,290,503.191278
603.938987,205,504.298662
691.562277,323,506.234394
598.314553,173,507.241753
606.089719,157,508.18932
464.375021,416,510.552249
798.019277,242,512.107966
892.07072,349,514.142732
-49.253386,76,514.684157
896.265046,469,517.504926
896.990816,394,519.642973
904.335389,417,522.30216
1087.084068,642,526.111838
604.268444,233,527.380724
604.918646,123,528.031206
157.263155,170,528.919018
900.880944,350,530.925526
887.256174,510,534.251847
1085.708039,616,539.889453
695.662747,177,540.923925
1002.89866,341,543.366468
802.099125,169,544.503588
1099.720094,377,546.82027
901.382325,283,548.825635
703.663101,241,550.489455
58.944553,89,551.168975
603.757969,209,552.816529
894.623185,321,554.730508
903.2239,372,556.791166
905.642503,322,558.584058
796.941253,398,560.762105
995.163098,483,563.693614
600.626748,107,564.273883
704.096338,238,565.967448
579.049279,358,569.168076
360.259977,203,570.479568
983.20285,566,573.653871
699.975319,299,575.28359
597.033327,148,576.074852
165.578206,142,576.964976
573.740171,532,579.933731
898.940635,346,581.924464
267.200025,239,583.200574
800.66814,232,584.396072
793.663331,402,586.549489
803.95043,317,588.512354
604.693831,223,589.757483
793.865813,311,591.486
704.547328,233,592.786455
890.620387,535,595.644543
692.554886,313,597.352335
696.578927,219,598.517813
261.719612,158,599.475482
995.835827,283,621.372983
1099.085304,434,626.176934
989.988107,511,630.366324
50.875195,142,631.375534
600.522679,126,632.287075
168.852622,295,634.143092
260.199201,228,635.742152
1089.667378,413,638.7973
701.444577,252,640.547949
1104.100666,284,642.531848
702.042428,153,643.573316
996.839574,405,646.320008
-50.277528,76,646.816316
576.290899,457,649.687346
707.301896,323,651.797697
598.572088,227,653.280479
605.434752,196,654.689772
801.033213,416,657.591693
160.883822,198,658.827521
1100.91313,367,661.158624
796.682434,238,662.640741
356.162,312,664.758352
558.324483,310,666.702884
469.274757,494,670.181249
155.990747,256,671.855491
604.18578,195,673.14874
463.927567,291,674.96388
602.457277,68,675.387378
481.321089,416,678.098185
1100.325791,610,682.162574
360.97473,266,684.036538
604.572016,255,685.635187
703.42077,207,687.064883
801.94905,421,689.789644
598.867829,193,691.231947
693.628648,327,694.825117
799.184045,341,697.551567
466.939922,313,700.097093
359.735458,141,701.023574
1105.596627,403,703.885452
896.313847,296,705.576712
599.560709,208,706.86331
678.566244,462,709.772947
701.347193,118,710.496207
1083.187873,623,713.9952
806.012681,180,714.918034
351.262849,348,716.800324
48.799606,117,717.413799
795.971995,337,719.405406
906.251539,252,721.028042
798.421255,523,723.835959
1000.519938,323,725.670146
996.877379,374,727.783421
881.632531,483,730.825865
706.004613,215,732.044013
902.604513,257,733.591839
997.756362,342,735.690442
804.563009,292,737.35391
907.781379,382,739.44179
894.298159,471,742.666647
1000.288848,454,745.66071
993.666309,391,748.730266
602.203072,200,750.571227
796.991931,382,753.476592
1003.169526,372,769.308044
892.523171,396,771.641933
475.93919,480,774.66027
1094.876764,366,776.751544
1008.372745,396,779.032744
263.702186,268,780.688634
1107.090471,387,783.108405
607.117235,161,784.101433
148.45472,76,784.625324
268.440344,254,786.516805
678.112854,390,789.229707
53.210564,76,789.669674
904.093666,302,791.333044
889.772317,456,793.944571
805.469748,269,795.690344
693.268855,334,797.848466
998.202078,470,800.539619
694.831823,289,802.122811
700.854022,283,804.208172
896.218812,418,806.850353
1090.2413,559,809.895166
892.207988,299,811.910383
792.646982,283,813.991076
994.613039,582,818.328121
1091.674371,438,821.00567
895.289889,482,824.730273
575.034165,539,828.49592
572.024489,436,830.879192
803.961634,324,832.775642
901.085478,383,834.851706
801.630123,248,836.767945
603.058945,122,837.56241
1100.293956,408,840.102773
265.435192,287,841.841069
1008.7475,323,843.634937
1000.124559,416,846.105261
801.920154,210,847.591226
985.966315,441,850.451298
596.974105,148,851.20561
802.980058,260,852.507133
992.959104,390,854.564437
365.388906,207,855.672364
599.536416,148,856.402456
895.826894,270,858.167077
1092.86084,437,860.592432
803.546342,227,861.795524
153.686387,84,862.224554
452.61564,562,865.285218
1001.410674,331,867.400925
604.723978,204,868.663053
600.026481,128,869.347243
792.23597,353,871.466765
1102.022158,325,873.386132
702.827625,229,874.649052
53.505466,77,875.119453
152.521058,196,876.248495
798.683936,372,878.480999
59.108219,92,879.105287
577.292112,401,881.289411
1090.416808,467,884.002135
997.144674,374,886.255352
50.955544,130,887.030057
890.611761,417,889.863742
708.333206,227,909.011768
792.084538,441,912.033655
903.193864,384,915.925831
51.604761,128,916.918009
53.938392,94,917.538654
602.031931,111,918.194408
904.407129,250,919.661122
1100.221895,403,922.108369
899.244474,287,923.976854
908.416008,255,926.154353
161.093291,167,927.658389
1090.087808,525,931.578225
606.544444,167,932.747302
473.29898,410,935.079476
364.732404,221,936.246221
703.527717,372,938.295031
598.369117,175,939.197488
804.473532,260,940.565797
600.181846,96,941.088425
604.575335,134,942.024458
1081.891828,492,945.38397
797.758782,230,946.84983
997.354272,395,950.833528
901.738449,400,953.938415
703.225231,227,955.248731
894.61117,286,956.896259
1083.683714,502,959.722787
800.11604,256,961.092322
1084.657181,520,963.94802
-52.230032,76,964.349403
697.274581,220,965.610537
601.9031,127,966.311638
996.90221,384,968.875084
701.562771,179,969.969363
800.562455,365,972.080659
699.976514,219,973.483693
162.160191,167,974.485389
897.364495,375,976.526151
801.81568,192,977.584919
707.095565,210,978.700081
1099.227186,454,981.27041
149.902167,121,981.969625
892.286948,394,984.116796
978.242915,540,987.223276
793.834407,325,989.153664
1007.546296,329,991.106314
163.312489,241,992.616072
697.595111,265,994.076875
799.474202,280,995.749398
801.902314,219,997.008312
705.086873,146,997.805433
363.542123,377,999.896027
708.02298,288,1001.510979
996.677702,560,1004.557294
994.563529,414,1006.997975
912.40379,323,1008.734205
891.002774,323,1010.463538
898.128426,226,1011.716828
602.8548,164,1012.606332
887.85764,388,1014.608749
157.21338,247,1015.979695
893.974968,236,1017.257721
252.160213,208,1018.360652
999.676263,304,1019.967228
985.019299,494,1022.484174
1097.990855,343,1024.224805
563.549732,367,1026.422751
271.093422,236,1027.897037
1000.642329,352,1030.298722
794.478952,358,1047.165493
800.348262,290,1048.724422
984.12224,361,1050.933997
600.015409,142,1051.845584
702.944661,202,1053.028416
600.616969,262,1054.516633
698.911048,186,1055.524905
610.766784,246,1056.791348
804.164109,251,1058.164926
881.45009,648,1061.747927
802.191732,385,1063.86699
1004.892793,279,1065.54978
695.996502,321,1067.362024
799.802587,270,1068.802212
57.56799,122,1069.446961
153.897332,139,1070.193262
995.375647,443,1072.477614
251.202117,177,1073.492618
698.93999,216,1074.669787
895.00436,377,1077.169936
602.981716,157,1078.261284
1094.742657,534,1081.101103
902.21173,471,1083.590244
63.413774,163,1084.419801
1111.50671,390,1086.425972
894.344866,319,1088.449531
601.924524,189,1089.459321
605.081457,118,1090.073845
998.181059,360,1092.414833
896.712706,493,1095.074764
806.311811,271,1096.592345
895.376986,372,1098.698429
602.803209,170,1099.837248
1098.050803,527,1102.70261
