#{"t_start": 1784039131.0711737, "env_id": "None"}
r,l,t
-75.965632,758,11.378016
-106.674272,1370,18.589315
-66.374439,635,21.291227
-95.302916,1261,27.862499
-54.67339,211,31.750869
-96.372382,1520,43.947287
-95.445006,1514,58.255098
-96.80948,1471,72.823918
-105.599387,1513,86.530075
-101.011999,1519,95.995526
-52.40839,105,96.58692
-96.373769,1505,108.914086
-101.36371,1507,119.986226
-52.145599,18,120.113731
-102.770897,1497,130.865571
-100.046741,1508,139.886009
-96.420222,1512,150.072317
-85.7466,1067,279.693382
-68.465043,674,284.312799
-75.861293,820,289.486426
-102.486164,1498,301.41881
-103.555221,1498,313.18917
-103.899718,1507,322.739441
-106.923016,1503,334.749883
-100.763074,1497,346.904907
-57.794126,304,348.852246
-85.842413,1124,358.417704
-99.132441,1502,368.155386
-52.401902,169,369.198164
-103.882861,1498,380.786309
-55.071546,144,381.780975
-65.420996,424,384.284955
-94.973441,1132,393.750075
-74.952959,738,398.489524
-95.13686,1496,410.038898
-52.060977,19,410.182406
-98.963468,1485,421.879743
-63.815084,422,424.410284
-101.770344,1496,566.14951
-57.663508,237,567.667225
-59.609179,263,569.433151
-53.136134,146,570.696337
-65.552531,466,574.4536
-52.608077,133,575.405353
-97.303229,1485,588.169966
-100.635762,1488,601.257643
-95.392418,1489,623.128693
-99.691522,1410,633.256871
-98.32705,1481,645.991077
-62.032752,311,647.999328
-53.580774,66,648.430009
-98.958461,1482,660.340615
-91.755587,1170,667.83935
-59.172452,385,672.636013
-62.039578,122,673.405412
-86.990745,1144,680.447302
-73.393713,740,687.673321
-93.998028,1292,696.119953
-63.47543,610,702.131946
-98.122815,1485,711.461629
-101.444343,1484,820.473621
-99.218073,1475,832.245048
-99.109088,1474,841.918914
-101.043602,1479,853.409996
-55.59204,159,854.422139
-61.947704,427,857.2531
-98.197314,1480,868.643831
-78.776919,843,876.151085
-50.863668,21,876.307641
-59.82922,370,878.636054
-59.80278,236,880.062324
-96.62989,1368,891.106066
-94.756175,1310,899.485887
-59.870392,197,900.794408
-102.19883,1480,912.516032
-52.509167,98,913.18797
-95.453965,1459,924.861563
-97.724714,1471,934.427664
-57.966504,384,939.23695
-102.637844,1466,948.705029
-97.331522,1471,960.17635
-57.91918,175,961.387655
-75.042087,793,968.584347
-59.794098,284,1056.226042
-97.875182,1468,1065.360667
-100.493886,1467,1076.625356
-60.244564,146,1077.569841
-99.478887,1468,1089.472933
-54.152356,75,1089.979555
-82.709038,934,1096.089525
-63.147072,455,1101.476671
-52.472998,67,1101.962725
-97.824561,1461,1111.373047
-103.580486,1467,1123.08847
-55.719118,153,1124.033264
-101.577692,1471,1135.861593
-92.052332,1288,1146.410044
-100.524922,1460,1156.006803
-98.614622,1476,1166.897417
-99.344118,1464,1176.334508
-100.454919,1460,1183.989395
-84.546401,1007,1190.764434
-76.140844,740,1194.72399
-51.096859,28,1194.875146
-94.067362,1457,1315.542883
-97.057452,1463,1327.152443
-59.350874,200,1328.455209
-99.040464,1459,1337.994727
-94.708106,1458,1349.808823
-98.636471,1460,1361.754418
-97.264092,1460,1373.786858
-100.651043,1462,1383.431349
-55.176524,211,1384.611449
-97.644032,1456,1393.915086
-84.153606,933,1400.300726
-99.451944,1457,1407.802637
-96.595682,1451,1416.91909
-98.811179,1449,1428.47289
-55.150599,169,1429.537971
-101.083401,1429,1438.709185
-55.793148,182,1442.058891
-95.136623,1447,1543.944291
-96.046422,1449,1555.622153
-97.374028,1453,1567.868778
-52.360008,27,1568.032027
-100.367215,1456,1577.76775
-84.249072,1106,1587.736231
-92.229487,1283,1598.61273
-50.197546,35,1598.859589
-96.551595,1443,1608.01111
-77.810928,1005,1616.537241
-82.601355,935,1622.345443
-59.848267,269,1624.022865
-104.20073,1449,1635.570597
-68.269527,582,1639.346925
-98.69458,1452,1649.681372
-60.821206,363,1651.557343
-97.977834,1449,1662.967194
-97.241885,1450,1674.526487
-94.286001,1273,1682.561212
-64.127641,277,1684.28797
-100.621834,1450,1786.899589
-98.242728,1446,1798.016799
-55.000063,237,1799.482476
-56.549036,162,1800.550573
-97.455022,1450,1811.649045
-70.902108,500,1814.67361
-97.120337,1442,1825.793856
-90.757816,1126,1833.14439
-99.137751,1446,1844.503125
-58.926384,243,1846.045473
-99.510387,1391,1857.341485
-101.984579,1444,1868.093893
-98.968871,1443,1879.52748
-97.949363,1439,1890.308667
-91.989875,1327,1900.654031
-69.937271,645,1904.357805
-95.346141,1450,1914.347799
-98.997644,1443,1924.099993
-100.223879,1442,2026.816822
-99.119565,1439,2036.176875
-94.99613,1437,2043.42472
-93.621237,1439,2052.733221
-98.866334,1437,2062.521254
-70.671037,440,2064.995869
-93.702588,1367,2074.464082
-96.736869,1439,2095.911774
-98.788335,1439,2107.375105
-95.51184,1436,2119.073952
-97.445981,1437,2128.131519
-100.773524,1432,2139.738335
-79.908502,883,2147.737841
-78.062093,833,2153.108732
-96.757876,1437,2164.27909
-87.579851,1060,2171.211527
-98.833972,1436,2274.55278
-64.421659,383,2277.04001
-98.053976,1431,2288.419504
15.815501,1061,2295.488719
-98.204644,1433,2306.656167
-98.448079,1430,2318.105841
-99.168576,1427,2327.443476
-57.292621,223,2331.044645
-100.124084,1433,2340.198396
-60.777875,391,2342.836966
10.324344,1438,2354.407296
-99.245112,1439,2365.577996
-93.310469,1273,2373.68327
-95.025007,1341,2384.280689
130.15726,563,2387.866598
-54.811461,99,2388.50375
-100.788405,1429,2400.31765
22.830246,1009,2408.841116
-99.582617,1431,2519.055381
-96.054609,1424,2530.23879
-72.054573,651,2534.5623
-98.423522,1434,2545.922796
-99.52184,1426,2557.027622
