#{"t_start": 1784039131.0748947, "env_id": "None"}
r,l,t
-63.658866,421,9.783433
-72.06288,565,12.395408
-80.661969,798,15.773901
-60.0735,445,18.998581
-88.347666,1103,23.948308
-61.372258,362,25.965907
-72.350808,716,33.212773
-61.998299,384,36.723562
-78.064677,711,42.443034
-73.844841,780,49.7961
-98.385259,1523,62.850865
-75.889179,778,71.483546
-85.335753,1082,80.391515
-59.590731,310,82.660286
-60.500118,328,86.929027
-73.096984,742,91.758632
-106.115997,1515,103.504425
-85.442127,997,109.990083
-84.628534,1054,118.392311
-78.425423,829,123.23939
-95.594814,1500,134.114096
-66.405883,502,137.162474
-104.50359,1502,147.374857
-101.913712,1508,277.417164
-59.850176,215,280.967194
-99.030152,1360,289.77009
-105.218723,1505,301.743264
-95.795846,1483,313.466223
-98.537169,1510,322.977775
-99.768052,1498,334.985037
-83.594087,1014,343.852306
-98.03045,1499,353.583193
-104.386699,1497,365.624671
-97.973464,1501,377.379393
-72.59123,574,380.971585
-99.559084,1494,392.672729
-104.45843,1490,404.057574
-94.51713,1326,412.599459
-102.661773,1491,424.213369
-56.281165,173,555.204434
-98.480002,1494,567.036067
-95.42003,1494,580.367815
-99.114433,1489,590.948201
-99.77001,1492,613.577801
-49.239481,29,613.778097
-77.147659,885,619.41827
-104.203601,1493,632.672858
-105.884381,1466,645.241904
-75.82944,780,650.405872
-78.49589,844,658.158381
-56.436149,162,659.11683
-70.107506,695,663.689282
-97.347114,1483,675.394902
-77.21814,847,680.56964
-80.180504,918,688.951827
-104.029228,1483,698.458285
-98.340473,1486,709.944784
-53.898329,127,710.76589
-108.146286,1486,819.85266
-98.620392,1479,831.682434
-81.1605,1003,838.223578
-65.214195,501,841.561077
-58.340019,207,842.839173
-76.22661,828,850.140565
-93.537815,1476,861.862855
-100.078596,1468,871.130111
-95.144973,1227,880.908054
-84.305583,1089,888.099089
-57.227786,163,891.228079
-53.117579,82,891.813521
-97.137488,1474,901.234093
-77.715387,780,908.520818
-59.758122,252,910.086445
-99.796447,1463,921.71472
-53.94077,94,922.409035
-95.48288,1474,932.016491
-53.393147,41,932.270804
-61.429577,411,934.908492
-57.453195,145,938.105163
-98.155241,1471,947.683341
-51.694584,51,948.02443
-81.781684,876,955.693916
-100.895316,1471,965.072294
-80.014067,826,1058.367627
-99.070982,1459,1069.336052
-100.019836,1462,1078.773376
-103.406285,1463,1090.692082
-50.976199,151,1091.797052
-101.702781,1457,1103.490294
-54.896647,150,1104.394314
-100.101341,1467,1116.010123
-53.548339,139,1116.863116
-99.285972,1468,1126.489584
-79.438009,851,1134.398769
-68.12562,512,1137.69613
-51.379605,13,1137.795604
-58.036963,271,1139.60263
-101.41409,1467,1151.670598
-100.631065,1471,1163.048617
-99.255267,1465,1170.902815
-96.26088,1463,1180.159344
-98.827548,1460,1189.381655
-98.226317,1463,1306.673798
-99.070986,1463,1318.313923
-94.428658,1420,1329.752162
-66.791394,513,1333.39777
-99.141482,1458,1345.029153
-95.705688,1456,1356.727875
-57.453045,213,1358.169276
-99.029167,1461,1367.868416
-50.477543,11,1367.937411
-98.927642,1459,1379.751669
-50.628446,105,1380.473977
-95.612799,1451,1390.736012
-81.871947,1051,1395.954768
-54.541348,223,1397.057742
-67.171741,497,1401.374874
-99.263021,1454,1408.814327
-95.061063,1451,1417.935601
-68.640619,464,1421.23404
